iso_o,iso_d,Distw,Comlang,Contig,GDP_d,GDP_o,POP_o,Pop_d,XPTOT_o,emotenss f,Remoteness,,
ABW,CZSK,,0,0,7095988,85499407322,1079,8549.940732,3447000,0.00E+00,0,,
ABW,DEU,8231.708192,0,0,,84629139882,100,8462.913988,3234000,1.57E+07,9.73E-08,,
ABW,DJI,12175.09079,0,0,,1.22E+11,1447.266724,12172.02592,3543000,1.62E+07,1.00E-07,,
ABW,DMA,984.1060054,1,0,,9832682831,4796.833496,983.2682831,3220000,1.62E+07,1.00E-07,,
ABW,DNK,8331.91737,0,0,,83986161998,64.66666412,8398.6162,2837000,1.60E+07,9.92E-08,,
ABW,DOM,699.2701453,0,0,,6614160248,18995.80078,661.4160248,2436000,1.71E+07,1.06E-07,,
ABW,DZA,7710.016822,0,0,,76948962230,191.3000031,7694.896223,2785000,1.62E+07,1.00E-07,,
ABW,ECU,1873.770441,0,0,,16987654647,2841.179932,1698.765465,5357000,1.78E+07,1.10E-07,,
ABW,EDEU,,0,0,,84629139882,185.1666718,8462.913988,6846000,0.00E+00,0,,
ABW,EGY,10362.26581,1,0,,1.04E+11,4593.700195,10369.64738,5593000,1.62E+07,9.99E-08,,
ABW,ESP,7186.835199,0,0,93986280,71113517620,12784,7111.351762,6300000,1.63E+07,1.01E-07,,
ABW,EST,9140.628731,0,0,,90780349396,4368.240234,9078.03494,7200000,1.63E+07,1.01E-07,,
ABW,ETH,11800.58829,0,0,,1.18E+11,212.6000061,11791.16523,12000000,1.62E+07,1.00E-07,,
ABW,FIN,9056.373468,0,0,,90744380737,1841.169678,9074.438074,13000000,1.61E+07,9.98E-08,,
ABW,FJI,12718.23779,1,0,185581600,1.27E+11,12250.90527,12684.11434,30000000,1.62E+07,1.00E-07,,
ABW,FLK,7245.113194,1,0,,72359591601,625.8599854,7235.95916,39000000,1.62E+07,1.00E-07,,
ABW,FRA,7716.751837,0,0,,76778252204,560.793335,7677.82522,45000000,1.63E+07,1.01E-07,,
ABW,FRO,7411.007625,0,0,,74032935535,1063.099976,7403.293553,46000000,1.62E+07,1.00E-07,,
ABW,GAB,8929.760926,0,0,,88571222177,10314.66016,8857.122218,41000000,1.63E+07,1.01E-07,,
ABW,GBR,7480.796475,1,0,,75353271030,2065,7535.327103,45000000,1.61E+07,9.93E-08,,
ABW,GEO,10965.28105,0,0,,1.10E+11,324.8599854,11041.87253,63000000,1.61E+07,9.93E-08,,
ABW,GHA,7620.655882,1,0,,96599632932,72.96666718,9659.963293,65000000,1.28E+07,7.89E-08,,
ABW,GIB,6930.323545,1,0,,69271060682,31.5,6927.106068,66000000,1.62E+07,1.00E-07,,
ABW,GIN,6247.763074,0,0,,61499028608,275.5333252,6149.902861,65000000,1.64E+07,1.02E-07,,
ABW,GLP,999.6448754,0,0,,9748070565,1310,974.8070565,63000000,1.66E+07,1.03E-07,,
ABW,GMB,5805.389842,1,0,,57816949482,2511.06665,5781.694948,64642884,1.62E+07,1.00E-07,,
ABW,GNB,5917.131878,0,0,39217220,59099480985,3432,5909.948099,69642888,1.62E+07,1.00E-07,,
ABW,GNQ,8801.053465,0,0,,87037722562,1689.579956,8703.772256,68571456,1.64E+07,1.01E-07,,
ABW,GRC,9457.369695,0,0,,94783431509,5143.299805,9478.343151,21464296,1.61E+07,9.98E-08,,
ABW,GRD,902.1114632,1,0,,9018441881,740.5666504,901.8441881,29228584,1.62E+07,1.00E-07,,
ABW,GRL,6174.272165,0,0,,59167263857,36.06666565,5916.726386,17392864,1.69E+07,1.04E-07,,
ABW,GTM,2252.725525,0,0,,22271168030,1173.06665,2227.116803,21535724,1.64E+07,1.01E-07,,
ABW,GUF,2061.801391,0,0,,21194091709,2130.52002,2119.409171,23857154,1.57E+07,9.73E-08,,
ABW,GUY,1463.903271,1,0,,14477012903,2053.333252,1447.70129,19071436,1.64E+07,1.01E-07,,
ABW,HKG,16132.21411,1,0,9418920,1.61E+11,1265,16118.85133,21035724,1.62E+07,1.00E-07,,
ABW,HND,1921.080462,0,0,,18668374039,5234.200195,1866.837404,26714298,1.66E+07,1.03E-07,,
ABW,HRV,8740.688607,0,0,,87073626651,2130,8707.362665,25321440,1.62E+07,1.00E-07,,
ABW,HTI,741.588724,0,0,,7125324735,1326,712.5324735,25035726,1.68E+07,1.04E-07,,
ABW,HUN,8940.499546,0,0,,89173121251,759.9333496,8917.312125,29821442,1.62E+07,1.00E-07,,
ABW,IDN,19054.8475,0,0,,1.92E+11,279.4666748,19232.31305,24046172,1.60E+07,9.91E-08,,
