Employee,Years
744,10
745,10
746,0.06860601
747,10
748,68.19474333
749,0.130232087
750,0.236259554
751,7
752,9.012088873
753,10
754,2.065305203
755,11.81516614
756,9
757,33.125
758,2.090042594
759,11.16254758
760,27.625
761,2.045964164
762,0.045351307
763,12
764,9.875
765,7
766,4.378262268
767,2.147406551
768,3.375
769,35.06417491
770,15
771,9.642467049
772,87.20221384
773,7
774,14
775,7
776,47.41079298
777,7
778,7
779,43.45704042
780,9
781,2.659798356
782,8.065754001
783,10
784,7
785,2.183966247
786,15
787,79.06573627
788,4.727100916
789,7
790,11.0170402
791,62.30025931
792,79.40399334
793,2.203557879
794,2.151500032
795,8.306913985
796,12.25
797,0.125231618
798,2.994009035
799,0.125134562
800,35.73509452
801,3
802,61.43847728
803,50.52684228
804,40.92969404
805,55.896376
806,2.372572323
807,28.79394687
808,3.050513841
809,10
810,7
811,2.369490122
812,13
813,12
814,2.112600639
815,10
816,3
817,3.437883706
818,7.205928117
819,4
820,3.314575424
821,15
822,67.98595434
823,2.060997334
824,2.142212825
825,2.005213481
826,87.62539186
827,15
828,9
829,14
830,7.005438561
831,4.085222521
832,2.566024988
833,3.885735066
834,14.375
835,1.095836913
836,4.368479161
837,2.030535461
838,32.22683396
839,102.5231876
840,34.84417517
841,90.41520534
842,48.48825901
843,4
844,9
845,13
846,75.84988549
847,15
848,12
849,2.033753183
850,2
851,2.429853575
852,11.09841638
853,78.05062379
854,2.353723561
855,8.390295541
856,2.092165461
857,2
858,2.31710514
859,28
860,9.381412422
861,10
862,12.25
863,0.38118683
864,0.266677853
865,10
866,66.18402631
867,9
868,0.079726315
769,0.257871051
870,2.154463454
871,74.62612393
872,3.028819483
873,2.108331129
874,13
875,82.56692351
876,0.193112506
877,2.075658321
879,2.119778817
879,2.401608712
880,10
881,0.003426397
882,4
883,11.75
884,14
885,2
886,15
887,87.94863637
888,4
889,20.625
890,7
891,13.1815517
892,0.476209768
893,9
894,8.846225759
895,88.34002337
896,12.60422846
897,8.284602278
898,4.614211182
899,78.83764654
900,8.449961734
901,1.011116703
902,2.005271476
903,64.07560558
904,3.534794285
905,2
906,2.112185454
907,44.24294989
908,0.216396729
909,2.155151367
910,3.123765449
911,2
912,2.061892973
913,84.97106943
914,4.26976652
915,0.233073869
916,7
917,2.131809145
918,0.178600632
919,38.25776781
920,2.237364216
921,0.582294951
922,66.11347869
923,7
924,7
925,7
926,15
927,42.428746
928,2.022085334
929,7
930,83.23020074
931,7
932,35.51348562
933,9
934,0.619398125
935,10
936,2.661942863
937,12
938,61.94057918
939,10
940,16.04062447
941,92.0405655
942,82.83091422
943,2.136030441
944,38.28039229
945,32.5
946,7
947,10
948,53.08864888
949,102.7607991
950,69.24397745
951,94.53817207
952,10
953,33.31630111
954,82.16917719
955,38.25616492
956,87.2455669
957,7
958,9
959,7
960,4.25717851
961,2.679005041
962,12
963,10
964,3.401515002
965,86.20585813
966,2.015358001
967,4
968,2.092530089
969,9
970,8
971,10
972,12.57081832
973,2.097141279
974,64.06138381
975,3.27449286
976,15
977,51.02000406
978,7
979,15
980,12.78937067
981,26.125
982,7
983,3
984,5.334173385
985,0.738513836
986,2.334212826
987,3.301235732
988,14
989,7.033518933
990,2
991,82.03481654
992,52.44334188
993,2.023518838
994,2.010895474
995,0.023333189
996,7
997,41.72610032
998,2.377833395
999,37.44754204
1000,0.914649583
1001,41.17758531
1002,3.199398929
1003,78.31515391
1004,48.74860269
1005,6.25
1006,10.12889223
1007,3.022994754
1008,72.69583048
1009,4
1010,7.271961284
1011,2.143191121
1012,7
1013,3.081548964
1014,2.270846371
1015,2.053394222
1016,0.377148728
1017,2.025924701
1018,7.5
1019,7.405102075
1020,8
1021,0.556230298
1022,7
1023,2.032964342
1024,7
1025,29.02514342
1026,10
1027,10
1028,0.798948462
1029,91.20509055
1030,9
1031,3
1032,4
1033,2.046689403
1034,10
1035,2
1036,9.375
1037,4
1038,1.167773529
1039,0.377869134
1040,7
1041,69.42750083
1042,0.42030845
1043,3.404766035
1044,7
1045,13
1046,3.069888468
1047,39.33443724
1048,7
1049,8
1050,2.376150865
1051,55.59427401
1052,7.116164552
1053,7
1054,3
1055,15
1056,85.19989547
1057,7
1058,18.82986537
1059,4
1060,10
1061,2.085832965
1062,4
1063,0.009803689
1064,82.3654984
1065,18.41034238
1066,2
1067,100.0835714
1068,3.038970218
1069,85.96900086
1070,10
1071,7
1072,71.18230639
1073,9.898243662
1074,32.04813065
1075,12
1076,7
1077,4
1078,2.014132733
1079,41.47815759
1080,3
1081,3.153867591
1082,7
1083,0.207644486
1084,65.0583133
1085,0.163391
1086,33.625
1087,66.73130844
1088,21.0698886
1089,0.064622981
1090,3.88433127
1091,2.120172281
1092,64.2404174
1093,2.02903567
1094,7
1095,0.387078745
1096,20.13436358
1097,0.334223723
1098,15
1099,15
1100,14.375
1101,2.094848984
1102,2.534757536
1103,0.437456593
1104,16.43849931
1105,63.97215466
1106,4
1107,2.433122211
1108,3.703871803
1109,2.058901054
1110,80.12513801
1111,2
1112,7.084310476
1113,0.307891469
1114,92.51687968
1115,17
1116,2
1117,3
1118,4.022930127
1119,7.015688301
1120,2.088949269
1121,2.176994895
1122,2.140802009
1123,12.75
1124,2.219301077
1125,7
1126,17.375
1127,2.029951059
1128,18.51281832
1129,26.375
1130,10
1131,0.23184338
1132,2
1133,30.625
1134,15
1135,2.227207789
1136,15
1137,0.212977887
1138,3.014607623
1139,13
1140,2.350064258
1141,13
1142,12.32954899
1143,74.12471654
1144,69.01361335
1145,7
1146,2
1147,9
1148,0.570487905
1149,57.21672224
1150,12
1151,0.125404484
1152,4
1153,32.375
1154,54.98783994
1155,2.018088152
1156,14
1157,0.374499527
1158,9.529789502
1159,10.10543191
1160,7.107295751
1161,2.038241985
1162,4
1163,2.601147725
1164,25.625
1165,9
1166,2
1167,9
1168,2.096313806
1169,45.21724012
1170,66.24463924
1171,21.03638886
1172,2.08156428
1173,7
1174,3.115440814
1175,4
1176,8.024285534
1177,2.087599467
1178,2.009723114
1179,62.05118715
1180,73.47636809
1181,2.394192737
1182,0.175334049
1183,60.88232732
1184,14
1185,75.89114577
1186,12.27999831
1187,3.148921269
1188,65.31581689
1189,4
1190,88.06945298
1191,0.997440537
1192,40.80361937
1193,2.359422933
1194,89.60693208
1195,7
1196,10
1197,26.7888006
1198,32.55351881
1199,4.022467058
1200,2.003229267
1201,7
1202,7.093530425
1203,4
1204,4
1205,2.047534699
1206,7
1207,3.114374046
1208,28.0269331
1209,80.67243628
1210,30.00972301
1211,15
1212,7
1213,86.0183739
1214,2.064348758
1215,69.09752976
1216,2.284097674
1217,7
1218,3.043097381
1219,
1220,
1221,
1222,
1223,
1224,
1225,
1226,
1227,
1228,
1229,
1230,
1231,
1232,
1233,
