value predictor(x_i),resource consumption(x_i),def_value1,value predictor(x_change),resource consumption(x_change),def_value2,,,,
-27609.63946,35574,-0.776118498,-22625.70801,34862.52,-0.648998065,,,,
-19026.59035,20961,-0.907713866,-19027.94357,20961,-0.907778425,,,,
-17944,20956,-0.856270281,-17944,20956,-0.856270281,,,,
-22125,29053,-0.761539256,-15729.27258,28471.94,-0.55244822,,,,
-42167,50186,-0.840214402,-31121.46289,46171.12,-0.67404609,,,,
-29063,35042,-0.829376177,-21351.55496,34341.16,-0.621748216,,,,
-31116.95266,43066,-0.722541045,-23359.73248,42204.68,-0.553486781,,,,
-27243.54515,32190,-0.846335668,-21448.94992,31546.2,-0.679921826,,,,
-34689.375,40736,-0.851565569,-25739.83661,39921.28,-0.644764813,,,,
-31321,34341,-0.912058472,-31321,34341,-0.912058472,,,,
-17193,24158,-0.711689709,-11391.69788,23191.68,-0.491197614,,,,
-20556,28536,-0.720353238,-14274.08496,27965.28,-0.510421671,,,,
-23181,26123,-0.887378938,-18998.08075,26123,-0.727254938,,,,
-18595,24600,-0.755894309,-12689.6224,23124,-0.548764158,,,,
-34213,50157,-0.682118149,-23178.46,39122.46,-0.592459165,,,,
-6349,13318,-0.476723232,-2886.42548,12518.92,-0.230565055,,,,
-36860.47017,54847,-0.672059915,-25887.77935,47168.42,-0.548837111,,,,
-26309,48235,-0.545433814,-18586.48329,45340.9,-0.409927533,,,,
-22448,29376,-0.76416122,-15981.16736,28788.48,-0.555123694,,,,
-26633.125,31683,-0.840612474,-20294.75075,31049.34,-0.653629055,,,,
-26538.80148,29509,-0.899346012,-21813.70236,29509,-0.739222012,,,,
-22508.81693,29416,-0.765189588,-16621.84709,28827.68,-0.576593298,,,,
-12629,14586,-0.865830248,-9417.979616,14586,-0.645686248,,,,
-21823,28786,-0.758111582,-15486.62568,28210.28,-0.548971002,,,,
-16705,24662,-0.677357879,-11276.40056,24168.76,-0.466569264,,,,
-30245,37187,-0.81332186,-22060.53853,36443.26,-0.605339328,,,,
-13246,21213,-0.624428417,-7727.65018,19940.22,-0.387540869,,,,
-8043,17976,-0.447429907,-4446.391749,17616.48,-0.252399557,,,,
-21813,27821,-0.784048021,-15132.06506,26708.16,-0.566570855,,,,
-34457,37433,-0.920497956,-34462.99926,37433,-0.920658223,,,,
-21582,23569,-0.915694344,-21581.39159,23569,-0.91566853,,,,
-14567,16520,-0.881779661,-14567,16520,-0.881779661,,,,
-6979,8983,-0.776911945,-6799.807116,8983,-0.756963945,,,,
-27036,30980,-0.872692059,-21456.39489,30360.4,-0.706723063,,,,
-28180,50169,-0.561701449,-19145.65591,45152.1,-0.424025813,,,,
-13879.5023,21820,-0.636090848,-9512.622058,21383.6,-0.444855967,,,,
-15329.90299,18309,-0.837287836,-15329.90299,18309,-0.837287836,,,,
-30965,42926,-0.721357685,-22375.5074,38633.4,-0.579175206,,,,
-10211,17132,-0.596019145,-6096.92152,16446.72,-0.370707443,,,,
-18839,21766,-0.865524212,-18842.55,21766,-0.86568731,,,,
-15499,27504,-0.563518034,-8895.2896,23653.44,-0.376067481,,,,
-19444.375,32396,-0.600209131,-12312.71956,31748.08,-0.387825644,,,,
-19772.75,27789,-0.711531541,-13655.27954,27233.22,-0.50141994,,,,
-13450.58118,20443,-0.657955348,-9359.282701,20034.14,-0.467166682,,,,
-25562.125,32554,-0.785222246,-18397.5805,31902.92,-0.576673875,,,,
-32106.25,38098,-0.842727965,-23720.32011,37336.04,-0.635319657,,,,
-21302,23284,-0.914877169,-21302,23284,-0.914877169,,,,
-16423,24364,-0.674068297,-10572.22904,23389.44,-0.452008643,,,,
-20051,27037,-0.741613345,-14099.07482,26496.26,-0.532115658,,,,
-13902.5,26848,-0.517822557,-9068.185959,24700.16,-0.367130657,,,,
-15644,31571,-0.495518039,-9960.06574,29676.74,-0.335618594,,,,
-8726.957925,14685,-0.594277012,-5200.502025,14097.6,-0.368892721,,,,
-9847.834192,16825,-0.58530961,-6143.978692,16488.5,-0.372622051,,,,
-33228,40175,-0.827081518,-25187.6969,39371.5,-0.639744406,,,,
-29414,36342,-0.809366573,-22867.93359,35615.16,-0.642084258,,,,
-38437,43431,-0.885013009,-29748.36786,42562.38,-0.698935724,,,,
-7541,14525,-0.519173838,-4343.4665,14234.5,-0.30513657,,,,
-18807,25811,-0.728642827,-12607.00849,24778.56,-0.508786971,,,,
-22352,24318,-0.919154536,-22352,24318,-0.919154536,,,,
-15611,17588,-0.887593814,-15610.07695,17588,-0.887541332,,,,
-17611.87518,25579,-0.688528683,-11469.33412,24555.84,-0.467071545,,,,
-18615.25,26630,-0.699033045,-13286.16092,26097.4,-0.509099026,,,,
