value predictor(x_i),resource consumption(x_i),def_value1,value predictor(x_change),resource consumption(x_change),def_value2,,,,
-26316,37316,-0.705220281,-18104.14666,33584.4,-0.539064169,,,,
-21842.94974,24794,-0.880977242,-21842.94974,24794,-0.880977242,,,,
-23232.125,25203,-0.921799984,-23232.125,25203,-0.921799984,,,,
-12905.84165,26827,-0.481076589,-7537.758953,24144.3,-0.31219621,,,,
-25925,28933,-0.896035669,-25925,28933,-0.896035669,,,,
-23866.34899,30872,-0.773074274,-17688.06392,30254.56,-0.584641255,,,,
-27843,29825,-0.933545683,-27843,29825,-0.933545683,,,,
-19938,22927,-0.869629694,-19938,22927,-0.869629694,,,,
-24007.75,25995,-0.923552606,-24007.75,25995,-0.923552606,,,,
-33911,36903,-0.918922581,-33911,36903,-0.918922581,,,,
-22093,35070,-0.629968634,-15075.493,31563,-0.477631816,,,,
-15804,17756,-0.89006533,-15804,17756,-0.89006533,,,,
-14685,24675,-0.595136778,-9747.039,24181.5,-0.403078345,,,,
-21577,29543,-0.730359138,-15665.39227,28952.14,-0.541078907,,,,
-27142,39139,-0.693477094,-19314.0122,38356.22,-0.503543159,,,,
-39747,46684,-0.851405192,-30404.03771,45750.32,-0.664564482,,,,
-37553.47037,45536,-0.824698488,-28441.03542,44625.28,-0.637330128,,,,
-23432,30399,-0.770814829,-16739.96414,29791.02,-0.561913091,,,,
-9466,12432,-0.761422136,-7228.668432,12432,-0.581456598,,,,
-9371,24348,-0.384877608,-4011.51824,23374.08,-0.171622508,,,,
-11814,14752,-0.800840564,-11814,14752,-0.800840564,,,,
-25550,28516,-0.895988217,-25550,28516,-0.895988217,,,,
-32164,35138,-0.915362286,-32165.97097,35138,-0.915418378,,,,
-20584,28545,-0.721107024,-14300.6746,27974.1,-0.511211249,,,,
-23501.375,30497,-0.770612683,-16177.82542,29277.12,-0.552575712,,,,
-33670,44642,-0.754222481,-24738.92148,41070.64,-0.602350523,,,,
-28641.125,41620,-0.688157737,-19481.05674,39955.2,-0.4875725,,,,
-8489.981427,26465,-0.320800356,-3194.334927,23818.5,-0.134111507,,,,
-33542,42493,-0.789353541,-24189.2907,39943.42,-0.605588873,,,,
-22619.375,29594,-0.764323005,-16698.39432,29002.12,-0.57576461,,,,
-22847,32872,-0.695029204,-16926.7528,32214.56,-0.525437963,,,,
-25105,38046,-0.659859118,-19012.69096,37285.08,-0.509927589,,,,
-14452,29403,-0.491514471,-7980.3997,27638.82,-0.288738799,,,,
-12146.63574,19050,-0.637618674,-7572.7764,18288,-0.414084449,,,,
-27449,39445,-0.69588034,-18767.1555,34711.6,-0.540659477,,,,
-29115.98913,30094,-0.967501466,-23695.09672,30094,-0.787369466,,,,
-26729,34670,-0.770954716,-19789.2717,33976.6,-0.582438257,,,,
-18258.98655,21223,-0.860339563,-18258.98655,21223,-0.860339563,,,,
-12232,26204,-0.466798962,-6465.41144,25679.92,-0.251769143,,,,
-8031,22998,-0.349204279,-3438.62024,22538.04,-0.152569622,,,,
-13208,21170,-0.623901748,-8547.6362,20746.6,-0.412001783,,,,
-15628,15552,-1.004886831,-15631.98,15552,-1.005142747,,,,
-10474,24429,-0.428752712,-5096.19994,23940.42,-0.212870114,,,,
-20084,28080,-0.715242165,-14464.29344,27518.4,-0.525622618,,,,
-17574.7158,20542,-0.855550375,-17575.82935,20542,-0.855604583,,,,
-26337.25,39307,-0.670039688,-17685.7793,34590.16,-0.5112951,,,,
-34628,42635,-0.812196552,-25243.1838,40929.6,-0.616746408,,,,
-34018.41665,34991,-0.972204757,-34018.78861,34991,-0.972215387,,,,
-5702,18695,-0.305001337,-1960.53226,18321.1,-0.107009528,,,,
-29272,31234,-0.937183838,-23646.7566,31234,-0.757083838,,,,
-30170,37186,-0.811326843,-21989.7614,36442.28,-0.603413436,,,,
-15584,18522,-0.841377821,-15585.96266,18522,-0.841483785,,,,
-28771,31751,-0.906144688,-22417.24389,31751,-0.706032688,,,,
-25122.44249,32057,-0.783680397,-18065.41451,31415.86,-0.575041222,,,,
-24963,36896,-0.676577407,-19793.8704,35420.16,-0.558830632,,,,
-16110,18126,-0.88877855,-16110,18126,-0.88877855,,,,
-11739,20748,-0.565789474,-6341.61528,19503.12,-0.325159015,,,,
-21465,28409,-0.755570418,-15781.44928,27840.82,-0.566845707,,,,
-19516,26522,-0.735841943,-14208.0991,25991.56,-0.546642799,,,,
-10264,20224,-0.507515823,-5407.81312,19010.56,-0.284463641,,,,
-27052,30031,-0.900802504,-27050.96825,30031,-0.900768148,,,,
-14346,26356,-0.544316285,-8017.9244,22666.16,-0.353739866,,,,
-17892,23851,-0.750157226,-13121.20711,23373.98,-0.561359559,,,,
-23711.44515,30694,-0.772510756,-16957.00712,30080.12,-0.563728041,,,,
-18374.99126,18334,-1.002235806,-18374.99126,18334,-1.002235806,,,,
-18948.31714,31908,-0.593842207,-13839.97867,31269.84,-0.442598321,,,,
-12290.98803,20248,-0.607022325,-7428.633314,19438.08,-0.382169088,,,,
-21382,30339,-0.704769439,-14707.77932,29125.44,-0.504980502,,,,
-12088,14062,-0.859621675,-12088,14062,-0.859621675,,,,
-22529,37485,-0.601013739,-15780.00341,32237.1,-0.489498231,,,,
-27564,30534,-0.902731381,-27564,30534,-0.902731381,,,,
-22776.875,40730,-0.55921618,-13817.79559,35027.8,-0.394480829,,,,
-21207.75757,23137,-0.91661657,-21209.98159,23137,-0.916712694,,,,
-7738.768216,25725,-0.300826753,-1561.294871,24696,-0.063220557,,,,
-27729,30717,-0.902724875,-27729,30717,-0.902724875,,,,
-25954.16246,29939,-0.866901448,-19962.53027,29939,-0.666773448,,,,
-28051,30028,-0.934161449,-25647.47436,30028,-0.854118635,,,,
-27836,31835,-0.87438354,-21465.81576,31198.3,-0.688044405,,,,
-14062,17029,-0.825767808,-14062.96,17029,-0.825824182,,,,
-31540,37550,-0.839946738,-23276.8972,36048,-0.645719518,,,,
-17483.875,19488,-0.897161073,-17488.42951,19488,-0.897394782,,,,
-34818,46827,-0.74354539,-25447.9173,42144.3,-0.603828212,,,,
-29306,32298,-0.907362685,-23488.22586,32298,-0.727234685,,,,
-28429,45429,-0.625789694,-19337.20337,44520.42,-0.434344586,,,,
-18566.14962,19508,-0.951719788,-18566.63493,19508,-0.951744665,,,,
-13890,32896,-0.422239786,-7308.16832,28948.48,-0.252454302,,,,
-39054,47065,-0.82978859,-29635.3522,46123.7,-0.64251897,,,,
-14210.81826,21174,-0.671144718,-9973.325032,20750.52,-0.480630126,,,,
-32497.87763,39475,-0.823252125,-24597.66693,38685.5,-0.635836862,,,,
-23479.09303,27426,-0.856088858,-23482.90724,27426,-0.856227931,,,,
-6218,11193,-0.555525775,-3977.83298,11193,-0.355385775,,,,
-24174,41212,-0.586576725,-15927.4788,37090.8,-0.429418584,,,,
-31131.625,38080,-0.817532169,-23521.0169,37318.4,-0.63027935,,,,
-6880.859776,12793,-0.537861313,-3044.28242,11513.7,-0.264405223,,,,
-31290,46262,-0.676365051,-22035.74952,38860.08,-0.567053632,,,,
-14537,16472,-0.882527926,-12229.07514,16472,-0.742415926,,,,
-7518,14494,-0.518697392,-4037.945422,13914.24,-0.29020237,,,,
-25301.55646,33297,-0.759874958,-18637.76126,32631.06,-0.571166283,,,,
-32372.25,33355,-0.970536651,-32376.88,33355,-0.970675461,,,,
-26150,28075,-0.93143366,-26150,28075,-0.93143366,,,,
-31214,33184,-0.940634041,-31214,33184,-0.940634041,,,,
-21426.94075,33354,-0.642409928,-15419.08485,32686.92,-0.471720335,,,,
-13773.9,17715,-0.777527519,-13773.93,17715,-0.777529213,,,,
-11110,18079,-0.61452514,-6406.92894,16994.26,-0.377005468,,,,
-26928,43885,-0.613603737,-18146.10618,39496.5,-0.459435803,,,,
-23867,28796,-0.828830393,-18103.99893,28220.08,-0.641528973,,,,
-9487,17475,-0.542889843,-5989.6933,17125.5,-0.349752901,,,,
-27507,30561,-0.900068715,-21390.52146,30561,-0.699928715,,,,
-29888.73569,34870,-0.857147568,-22910.91748,34172.6,-0.67044701,,,,
-19993.49,22974,-0.870265953,-19993.62,22974,-0.870271611,,,,
-23517,26445,-0.889279637,-22462.46692,26445,-0.849403173,,,,
-25306,30264,-0.836174993,-19251.50522,29658.72,-0.649101014,,,,
-23298,24250,-0.960742268,-23298,24250,-0.960742268,,,,
-31589.71,39562,-0.798486174,-23671.68782,38770.76,-0.610555166,,,,
-10284.20952,22227,-0.46268995,-5392.817166,19559.76,-0.275709782,,,,
-30567.5,38541,-0.793116421,-22854.21259,37770.18,-0.605086144,,,,
-17062,19013,-0.897385999,-17062,19013,-0.897385999,,,,
-28584.95416,42531,-0.672096921,-20074.50106,40829.76,-0.49166346,,,,
-29253.95766,42179,-0.693566886,-20814.78334,37117.52,-0.560780552,,,,
-23315.58791,36258,-0.643046718,-17510.10199,35532.84,-0.492786447,,,,
-32319.14868,39305,-0.822265581,-24454.02422,38518.9,-0.634857803,,,,
-12091,15032,-0.804350718,-9985.886623,15032,-0.664308583,,,,
-23337.75236,29273,-0.797244982,-18065.22015,28687.54,-0.629723572,,,,
-29158.90086,41129,-0.708962067,-20927.73097,40306.42,-0.519215821,,,,
-14968.5,26966,-0.555087888,-9047.766479,23730.08,-0.381278381,,,,
-20993,26916,-0.779945014,-14529.39176,25839.36,-0.56229689,,,,
-35210.6548,49225,-0.71530025,-25362.83889,42333.5,-0.59911982,,,,
-30386.43312,49337,-0.615895436,-22489.52412,48350.26,-0.465137605,,,,
-26351,34295,-0.768362735,-19487.47306,33609.1,-0.579827281,,,,
-25216,28211,-0.893835738,-19569.85046,28211,-0.693695738,,,,
-37894,40899,-0.926526321,-29711.90966,40081.02,-0.741296246,,,,
-29888,37936,-0.787853226,-22295.79245,37177.28,-0.599715537,,,,
-29268,36265,-0.807059148,-22011.52915,35539.7,-0.619350449,,,,
-27789,35731,-0.777728023,-21352.90987,35016.38,-0.609797754,,,,
-17085.93722,17065,-1.00122691,-17085.93722,17065,-1.00122691,,,,
-11055.25201,20045,-0.551521677,-6242.122658,19243.2,-0.324380699,,,,
-28724.90203,35711,-0.804371259,-22292.49387,34996.78,-0.636986999,,,,
-26188,34145,-0.766964416,-18671.3197,33462.1,-0.557984098,,,,
-17822,28797,-0.618883912,-11488.08329,25917.3,-0.443259263,,,,
-28092,32057,-0.876314066,-21678.80481,31415.86,-0.690059251,,,,
-8765,11679,-0.750492337,-8765,11679,-0.750492337,,,,
-17216.375,25173,-0.683922258,-11674.79078,24669.54,-0.473247202,,,,
-11060,24043,-0.46000915,-6248.9957,21638.7,-0.288787945,,,,
-11643.91017,19561,-0.595261498,-7338.142852,19169.78,-0.382797447,,,,
-23001,30948,-0.743214424,-16807.31486,30329.04,-0.554165739,,,,
-21923,29919,-0.732745078,-15935.25069,29320.62,-0.543482733,,,,
-30063,33040,-0.909897094,-30063,33040,-0.909897094,,,,
-9286,11237,-0.826377147,-8387.343564,11237,-0.746404162,,,,
-6892.313131,12809,-0.538083623,-3560.783814,12040.46,-0.295734865,,,,
-18757.14973,39720,-0.472234384,-13194.79093,38925.6,-0.338974632,,,,
-23217,30219,-0.768291472,-15960.20934,29010.24,-0.550157784,,,,
-11773.37095,13755,-0.855933911,-9572.152272,13755,-0.695903473,,,,
-25277.375,28236,-0.895217984,-25277.375,28236,-0.895217984,,,,
-26451.875,36439,-0.725922089,-19161.15988,34252.66,-0.559406478,,,,
-21785,24754,-0.880059788,-21785,24754,-0.880059788,,,,
-9951,15952,-0.623808927,-6120.28672,15313.92,-0.399655132,,,,
-13814,21770,-0.634542949,-9461.12636,21334.6,-0.443463967,,,,
-7184,20146,-0.356596843,-2346.9454,17325.56,-0.135461445,,,,
-32334,40310,-0.802133466,-24267.1628,39503.8,-0.614299455,,,,
-30965.12681,37930,-0.816375608,-22615.97872,37171.4,-0.608424184,,,,
-28035,35975,-0.779291174,-20835.2513,35255.5,-0.590978749,,,,
-33769.28674,41744,-0.808961449,-24585.1456,40074.24,-0.613490003,,,,
-31284,43234,-0.723597169,-22633.49311,42369.32,-0.534195335,,,,
-30114,41070,-0.733235939,-21076.1358,36963,-0.570195487,,,,
-25170.86769,37151,-0.677528672,-16992.44655,36407.98,-0.466723135,,,,
-8896.970484,15848,-0.561393897,-4774.271764,14897.12,-0.320482869,,,,
-12867,19854,-0.648080991,-7702.57752,18662.76,-0.412724459,,,,
-12319.25,15255,-0.8075549,-9266.4194,15255,-0.6074349,,,,
-18783,21698,-0.865655821,-18783,21698,-0.865655821,,,,
-34759,41749,-0.83257084,-26403.68913,40914.02,-0.645345755,,,,
-11812,18762,-0.629570408,-8057.123416,18386.76,-0.438202457,,,,
-23066,23993,-0.961363731,-19224.43278,23993,-0.801251731,,,,
-15571.86718,22552,-0.690487193,-9705.253726,21198.88,-0.457819174,,,,
-15245.90121,17209,-0.885926039,-15245.90121,17209,-0.885926039,,,,
-15805,28794,-0.548899076,-10043.3206,25914.6,-0.387554529,,,,
-15490.87973,23396,-0.66211659,-10808.69173,22928.08,-0.47141722,,,,
-30283,36222,-0.836038871,-22309.08892,35497.56,-0.628468236,,,,
-18475,25449,-0.725961727,-12872.20319,24940.02,-0.516126418,,,,
-35517,43493,-0.816614168,-26813.18084,42623.14,-0.629075681,,,,
-20734,22704,-0.913231149,-20733.4382,22704,-0.913206404,,,,
-25456,38426,-0.662468121,-18534.43076,35351.92,-0.524283568,,,,
-34586,34583,-1.000086748,-34586,34583,-1.000086748,,,,
-27770.56872,39766,-0.698349563,-19813.73831,35789.4,-0.553620299,,,,
-22579,29569,-0.763603774,-16661.29689,28977.62,-0.574971198,,,,
-13709,15708,-0.872740005,-11822.84619,15708,-0.752664005,,,,
-23354,31349,-0.744967942,-16452.83114,30722.02,-0.535538716,,,,
-14379,26377,-0.545134018,-8048.692607,25321.92,-0.317854752,,,,
-26033.85141,35002,-0.743781824,-19729.57118,34301.96,-0.57517329,,,,
-9709.89625,29672,-0.327241044,-3772.62886,28485.12,-0.132442091,,,,
-10750,10728,-1.002050708,-10750,10728,-1.002050708,,,,
-30064.82671,32981,-0.911580204,-30064.93186,32981,-0.911583392,,,,
-28801,35756,-0.805487191,-21645.08021,35040.88,-0.617709379,,,,
-12856.80204,19832,-0.648285702,-7697.705563,18642.08,-0.41292096,,,,
-17941,20885,-0.859037587,-17941,20885,-0.859037587,,,,
-13266.99095,20206,-0.656586704,-8414.722108,19397.76,-0.43379865,,,,
-20816,22744,-0.91523039,-20818.9096,22744,-0.915358319,,,,
-9525,22450,-0.424276169,-5032.0366,22001,-0.22871854,,,,
-14569,20530,-0.709644423,-10464.84143,20119.4,-0.520136854,,,,
-7415.836854,8336,-0.889615745,-6414.793332,8336,-0.769528951,,,,
-21072,29079,-0.724646652,-14088.96894,27915.84,-0.504694429,,,,
-14228,16220,-0.877188656,-11631.24288,16220,-0.717092656,,,,
-24353,31321,-0.777529453,-17457.99506,30694.58,-0.568764748,,,,
-30382.59754,38407,-0.791069272,-22696.12782,37638.86,-0.602997217,,,,
-9301.281731,21271,-0.437275245,-3769.509662,19994.74,-0.188525065,,,,
-32543,39526,-0.823331478,-23841.74636,38735.48,-0.615501508,,,,
-28201,34159,-0.825580374,-21367.2871,33475.82,-0.638290178,,,,
-31228,39207,-0.796490423,-22596.97102,38422.86,-0.588112676,,,,
-7551,10490,-0.719828408,-4822.04748,10490,-0.459680408,,,,
-31061,38015,-0.817072208,-23452.98202,37254.7,-0.629530825,,,,
-16751,23725,-0.706048472,-11054.153,22776,-0.485342158,,,,
-8103,11103,-0.729802756,-6992.966472,11103,-0.629826756,,,,
-15782,21744,-0.725809419,-10562.22234,20439.36,-0.516758956,,,,
-23837.25,35840,-0.665101842,-16665.49618,35123.2,-0.47448684,,,,
-30163,42149,-0.715627892,-21729.90412,37934.1,-0.572832995,,,,
-20831,27777,-0.749936998,-15271.71122,27777,-0.549796998,,,,
-20332,23309,-0.872281093,-19866.47265,23309,-0.852309093,,,,
-28442,33415,-0.851174622,-21756.13087,32746.7,-0.664376284,,,,
-21835,36764,-0.593923403,-15951.28944,32352.32,-0.493049322,,,,
-12070.15901,14999,-0.804730916,-8769.065955,14999,-0.584643373,,,,
-31995.16269,38981,-0.820788658,-23413.88535,38201.38,-0.612906794,,,,
-30105.5,38166,-0.788804171,-21727.53304,37402.68,-0.580908455,,,,
-17492,24472,-0.714776071,-12594.3697,23982.56,-0.525147011,,,,
-25780,26717,-0.964928697,-25780,26717,-0.964928697,,,,
-15567,22517,-0.691344318,-10610.10762,22066.66,-0.480820732,,,,
-11357,14343,-0.791814823,-7912.614608,14343,-0.551670823,,,,
-13207.625,21205,-0.62285428,-7691.7804,19932.7,-0.385887532,,,,
-32309,45260,-0.713853292,-22345.16361,43449.6,-0.514277775,,,,
-38651.47064,40655,-0.950718746,-35399.43524,40655,-0.870727715,,,,
-21195.90751,25154,-0.842645604,-21195.90751,25154,-0.842645604,,,,
-14317.63187,26249,-0.545454374,-9064.400353,25724.02,-0.352371066,,,,
-25152.99696,31140,-0.807739144,-18300.76605,30517.2,-0.599686932,,,,
-26532,38476,-0.689572721,-18063.4324,33858.88,-0.533491728,,,,
-23995,35994,-0.666638884,-16072.7206,31674.72,-0.50743055,,,,
-16046.99363,23031,-0.696756269,-10516.32929,22109.76,-0.475641947,,,,
-17934,24920,-0.719662921,-12946.71056,24421.6,-0.530133593,,,,
-13752,13689,-1.004602235,-12655.94915,13689,-0.924534235,,,,
-19114,26073,-0.733095539,-13374.28978,25551.54,-0.52342402,,,,
-16264.58122,26202,-0.620738158,-9973.8098,22533.72,-0.4426171,,,,
-35648,43619,-0.817258534,-26922.84545,42746.62,-0.629823959,,,,
-29719.96412,45700,-0.650327442,-20577.22212,42044,-0.489421133,,,,
-16354.86237,27276,-0.599606334,-10351.41477,24002.88,-0.431257198,,,,
-14903.35008,16831,-0.885470268,-14903.99,16831,-0.885508288,,,,
-26122,33123,-0.788636295,-18167.84278,31798.08,-0.571350307,,,,
-17941,25946,-0.691474601,-12229.24756,25427.08,-0.480953675,,,,
-29403.70253,48371,-0.60787874,-19725.5429,46436.16,-0.424788417,,,,
-9872,11872,-0.831536388,-6783.475456,11872,-0.571384388,,,,
-9632,17549,-0.548863183,-6120.592625,17198.02,-0.355889377,,,,
-17703,17636,-1.003799047,-17703,17636,-1.003799047,,,,
-34611,37599,-0.920529801,-34609.14683,37599,-0.920480514,,,,
-28937.79979,34923,-0.828617238,-21951.41431,34224.54,-0.641393991,,,,
-20269,28268,-0.717029857,-14611.66862,27702.64,-0.527446793,,,,
-9973.244303,16940,-0.588739333,-5567.226465,15923.6,-0.349621095,,,,
-14296.77173,23260,-0.614650547,-9176.450329,22794.8,-0.402567705,,,,
-26392,29338,-0.899584157,-21107.40474,29338,-0.719456157,,,,
-23399.85639,28349,-0.825420875,-18296.69585,27782.02,-0.658580472,,,,
-36280,40270,-0.900918798,-28223.74488,39464.6,-0.715166121,,,,
-19521.75,37512,-0.520413468,-12016.82428,33760.8,-0.355940152,,,,
-40497,53504,-0.756896681,-29791.27763,50293.76,-0.592345405,,,,
-12881.86864,13877,-0.928289158,-12885.99,13877,-0.92858615,,,,
-26494.91983,33505,-0.790775103,-18449.02913,32164.8,-0.573578233,,,,
-31458.95276,39412,-0.798207469,-23571.35038,38623.76,-0.610281091,,,,
-16929,23908,-0.708089342,-11666.37104,23429.84,-0.4979279,,,,
-24905.97821,26817,-0.92873842,-24905.97821,26817,-0.92873842,,,,
-24325,33288,-0.730743812,-16997.64544,31956.48,-0.531899804,,,,
-16289,18269,-0.891619684,-16289,18269,-0.891619684,,,,
-22249,29219,-0.761456586,-16401.34309,28634.62,-0.57278019,,,,
-24063,30031,-0.801272019,-17451.97566,29430.38,-0.592991856,,,,
-11301.84613,14283,-0.791279572,-11016.52892,14283,-0.771303572,,,,
-31158.69129,43186,-0.721499822,-22517.17269,38867.4,-0.579333135,,,,
-22047,28963,-0.761212582,-16250.57688,28383.74,-0.572531206,,,,
-25657.11801,30580,-0.839016286,-21375.5668,29356.8,-0.728130001,,,,
-7027.797828,19004,-0.369806242,-2084.857428,15963.36,-0.130602669,,,,
-33549,40554,-0.827267347,-24621.44244,39742.92,-0.619517701,,,,
-18095.99267,21079,-0.8584844,-18095.99267,21079,-0.8584844,,,,
-30953,38913,-0.795441112,-23165.26348,38134.74,-0.607458278,,,,
-28237.68538,48193,-0.585929188,-21488.73766,43373.7,-0.495432432,,,,
-41494,51502,-0.805677449,-31186.80174,50471.96,-0.61790352,,,,
-20150,29160,-0.691015089,-13731.7176,28576.8,-0.480519778,,,,
-16369,30336,-0.539589926,-9691.708317,26088.96,-0.371486955,,,,
-25320.70982,27323,-0.926717777,-23133.66761,27323,-0.846673777,,,,
-34501.39028,37523,-0.919473131,-34502.42,37523,-0.919500573,,,,
-16527,26481,-0.624107851,-11228.1519,25421.76,-0.441674845,,,,
-26664,43647,-0.610901093,-17055.54942,42774.06,-0.398735809,,,,
-15332,27288,-0.561858692,-9870.797984,26742.24,-0.36910887,,,,
-20292.43912,26229,-0.773664231,-13996.82845,25179.84,-0.5558744,,,,
-22759,25748,-0.883913314,-21215.07,25748,-0.82395021,,,,
-33779.31426,42761,-0.789956134,-25222.83816,41050.56,-0.614433473,,,,
-38364.75,49356,-0.77730671,-27503.59962,44420.4,-0.61916596,,,,
-11844.12739,30767,-0.38496205,-4457.17796,28920.98,-0.154115731,,,,
-27905,41880,-0.6663085,-18688.8872,35179.2,-0.531248215,,,,
-12445.125,16426,-0.757647936,-12449.68555,16426,-0.757925578,,,,
-28997,35987,-0.805763192,-21794.84972,35267.26,-0.617991013,,,,
-25619.96024,35584,-0.719985394,-19211.99352,34160.64,-0.562401452,,,,
-30670,36640,-0.837063319,-23337.74976,35907.2,-0.649946244,,,,
-31292,51226,-0.610861672,-21044.13625,46103.4,-0.456455191,,,,
-32501,40533,-0.801840476,-24389.53604,39722.34,-0.614000485,,,,
-18687,31673,-0.58999779,-11721.7127,27872.24,-0.420551513,,,,
-26182,43154,-0.60671085,-19272.35414,42290.92,-0.45570903,,,,
-34294,37301,-0.919385539,-34294,37301,-0.919385539,,,,
-24631,31613,-0.779141492,-17671.27957,30980.74,-0.570395658,,,,
-26805,30761,-0.871395598,-20649.23172,30761,-0.671279598,,,,
-15118,27079,-0.558292404,-9158.238476,26537.42,-0.345106588,,,,
-30657.92849,36589,-0.837900147,-24067.39296,35857.22,-0.67120075,,,,
-16701.25,34644,-0.482082034,-9077.107843,33951.12,-0.267358127,,,,
-33456,41467,-0.806810235,-25157.62396,40637.66,-0.619071668,,,,
-28113,30100,-0.933986711,-28113,30100,-0.933986711,,,,
-23469,34437,-0.681505358,-15890.2563,30304.56,-0.524351989,,,,
-38455,40478,-0.950022234,-38455,40478,-0.950022234,,,,
-28432.9252,34380,-0.827019348,-22242.87496,33004.8,-0.673928488,,,,
-16032,17991,-0.891112223,-16034.78239,17991,-0.891266877,,,,
-31275,31234,-1.001312672,-31274.44869,31234,-1.001295021,,,,
-25616.64167,39565,-0.647457138,-18492.56777,34817.2,-0.531133111,,,,
-24619.93314,26563,-0.926850625,-21961.61436,26563,-0.826774625,,,,
-24684,37650,-0.65561753,-16397.235,33132,-0.494906284,,,,
-25174,33173,-0.758870165,-18539.65262,32509.54,-0.57028345,,,,
-20944,28870,-0.725458954,-14589.1356,28292.6,-0.515651994,,,,
-21755.59,38721,-0.561855066,-14782.0679,35623.32,-0.414954808,,,,
-14055,17018,-0.825890234,-14057.75,17018,-0.826051827,,,,
-23505,30463,-0.771591767,-16798.87518,29853.74,-0.562705885,,,,
-9287,16281,-0.570419507,-5702.90066,15955.38,-0.357428069,,,,
-25589,37564,-0.681210734,-18823.7236,34558.88,-0.54468558,,,,
-14007,22984,-0.609423947,-9407.166112,22524.32,-0.417644844,,,,
-23290,35269,-0.660353285,-16231.54449,34563.62,-0.469613556,,,,
-10728.81473,15688,-0.683886712,-7589.159184,15374.24,-0.49362825,,,,
-12998,15943,-0.815279433,-8850.783852,15943,-0.555151719,,,,
-12040,13959,-0.862525969,-9528.951608,13959,-0.682638556,,,,
-27893,35874,-0.7775269,-20714.03862,35156.52,-0.589194796,,,,
-8066,11055,-0.729624604,-6078.315966,11055,-0.549825053,,,,
-19606,26580,-0.737622272,-14288.49144,26048.4,-0.548536242,,,,
-10516,12483,-0.842425699,-10516,12483,-0.842425699,,,,
-19281,26225,-0.73521449,-12983.3285,25176,-0.515702594,,,,
-10181,18136,-0.561369652,-5825.82096,17410.56,-0.33461422,,,,
-26589,39527,-0.672679434,-17891.07349,34783.76,-0.514351338,,,,
-30686.88,37681,-0.81438603,-22389.6697,36927.38,-0.606316227,,,,
-31815.625,39767,-0.800050922,-23868.71698,38971.66,-0.612463441,,,,
-29583.94389,41549,-0.712025413,-23762.92899,39887.04,-0.595755639,,,,
-18705.64209,36636,-0.510580906,-12107.81059,35903.28,-0.337234108,,,,
-39272,46236,-0.849381434,-30018.69685,45311.28,-0.662499423,,,,
-30896,40874,-0.755883936,-23535.01731,39239.04,-0.599785757,,,,
-10425.27409,14369,-0.725539292,-7262.701525,14369,-0.505442378,,,,
-26100.98293,33034,-0.790124809,-18168.19817,31712.64,-0.572900842,,,,
-17422.66564,24412,-0.713692677,-11560.36796,23435.52,-0.493284039,,,,
-16743.97431,18666,-0.897030661,-16743.97431,18666,-0.897030661,,,,
-38465.00808,49469,-0.777557826,-27579.56186,44522.1,-0.619457794,,,,
-30099,37043,-0.812542181,-24165.82883,36302.14,-0.665686068,,,,
-42505.125,44547,-0.95416358,-38963.77849,44547,-0.874666723,,,,
-6743.130073,9680,-0.696604346,-6744.96,9680,-0.696793388,,,,
-12253,19176,-0.638975803,-8415.268768,18792.48,-0.447799799,,,,
-18672.69495,36636,-0.509681596,-10607.64591,35903.28,-0.295450608,,,,
-30993,52951,-0.585314725,-20398.56392,46596.88,-0.437766733,,,,
-28751.01649,41767,-0.688366808,-19564.08879,35919.62,-0.544663022,,,,
-16876,33824,-0.498935667,-10106.73523,33147.52,-0.304901701,,,,
-31373,38380,-0.817430954,-22924.0268,37612.4,-0.609480565,,,,
-31408,48353,-0.649556387,-20762.62846,47385.94,-0.438160105,,,,
-10638,23590,-0.450953794,-4974.041,20287.4,-0.24517883,,,,
-10552,19523,-0.540490703,-5863.74678,18742.08,-0.312865316,,,,
-15657.77677,34653,-0.451844769,-8029.958409,33266.88,-0.241379967,,,,
-12456.14669,15485,-0.804400819,-9667.174308,15485,-0.624292819,,,,
-8419,10382,-0.810922751,-8419,10382,-0.810922751,,,,
-24984,32962,-0.757963716,-18387.24902,32302.76,-0.569216037,,,,
-19359.72962,27309,-0.708913897,-13894.49893,26762.82,-0.519171706,,,,
-16826.97756,24809,-0.678261017,-11365.5243,24312.82,-0.467470425,,,,
-10261.86282,22190,-0.462454386,-5821.64382,19971,-0.291504873,,,,
-8653,15652,-0.552836698,-4268.56176,14399.84,-0.296431194,,,,
-14884,21850,-0.681189931,-10511.1158,21413,-0.49087544,,,,
-9219,19209,-0.479931282,-5374.664412,18824.82,-0.285509472,,,,
-18604,25550,-0.7281409,-13490.6274,25039,-0.538784592,,,,
-26968.30855,30929,-0.871942467,-20780.77653,30310.42,-0.685598435,,,,
-14436,21413,-0.674169897,-8865.62218,20128.22,-0.440457337,,,,
-36953,47930,-0.77097851,-27365.0828,44095.6,-0.620585337,,,,
-25369,36344,-0.698024433,-17371.13936,32709.6,-0.531071592,,,,
-17714.375,30715,-0.576733681,-12181.86634,30100.7,-0.404703756,,,,
-21122,33127,-0.637606786,-13830.7473,29151.76,-0.47443953,,,,
-23141,33110,-0.698912715,-17177.889,32447.8,-0.52940073,,,,
-10447.55114,30368,-0.344031584,-3763.919508,28545.92,-0.131854903,,,,
