r1,r2
23851,23373.98
30694,30080.12
18334,18334
31908,31269.84
20248,19438.08
30339,29125.44
14062,14062
37485,32237.1
30534,30534
40730,35027.8
23137,23137
25725,24696
30717,30717
29939,29939
30028,30028
31835,31198.3
17029,17029
37550,36048
19488,19488
46827,42144.3
32298,32298
45429,44520.42
19508,19508
32896,28948.48
47065,46123.7
21174,20750.52
39475,38685.5
27426,27426
11193,11193
41212,37090.8
38080,37318.4
12793,11513.7
46262,38860.08
16472,16472
14494,13914.24
33297,32631.06
33355,33355
28075,28075
33184,33184
33354,32686.92
17715,17715
18079,16994.26
43885,39496.5
28796,28220.08
17475,17125.5
30561,30561
34870,34172.6
22974,22974
26445,26445
30264,29658.72
24250,24250
39562,38770.76
22227,19559.76
38541,37770.18
19013,19013
42531,40829.76
42179,37117.52
36258,35532.84
39305,38518.9
15032,15032
29273,28687.54
41129,40306.42
26966,23730.08
26916,25839.36
49225,42333.5
49337,48350.26
34295,33609.1
28211,28211
40899,40081.02
37936,37177.28
36265,35539.7
35731,35016.38
17065,17065
20045,19243.2
35711,34996.78
34145,33462.1
28797,25917.3
32057,31415.86
11679,11679
25173,24669.54
24043,21638.7
19561,19169.78
30948,30329.04
29919,29320.62
33040,33040
11237,11237
12809,12040.46
39720,38925.6
30219,29010.24
13755,13755
28236,28236
36439,34252.66
24754,24754
15952,15313.92
21770,21334.6
20146,17325.56
40310,39503.8
37930,37171.4
35975,35255.5
41744,40074.24
43234,42369.32
41070,36963
37151,36407.98
15848,14897.12
19854,18662.76
15255,15255
21698,21698
41749,40914.02
18762,18386.76
23993,23993
22552,21198.88
17209,17209
28794,25914.6
23396,22928.08
36222,35497.56
25449,24940.02
43493,42623.14
22704,22704
38426,35351.92
34583,34583
39766,35789.4
29569,28977.62
15708,15708
31349,30722.02
26377,25321.92
35002,34301.96
29672,28485.12
10728,10728
32981,32981
35756,35040.88
19832,18642.08
20885,20885
20206,19397.76
22744,22744
22450,22001
20530,20119.4
8336,8336
29079,27915.84
16220,16220
31321,30694.58
38407,37638.86
21271,19994.74
39526,38735.48
34159,33475.82
39207,38422.86
10490,10490
38015,37254.7
23725,22776
11103,11103
21744,20439.36
35840,35123.2
42149,37934.1
27777,27777
23309,23309
33415,32746.7
36764,32352.32
14999,14999
38981,38201.38
38166,37402.68
24472,23982.56
26717,26717
22517,22066.66
14343,14343
21205,19932.7
45260,43449.6
40655,40655
25154,25154
26249,25724.02
31140,30517.2
38476,33858.88
35994,31674.72
23031,22109.76
24920,24421.6
13689,13689
26073,25551.54
26202,22533.72
43619,42746.62
45700,42044
27276,24002.88
16831,16831
33123,31798.08
25946,25427.08
48371,46436.16
11872,11872
17549,17198.02
17636,17636
37599,37599
34923,34224.54
28268,27702.64
16940,15923.6
23260,22794.8
29338,29338
28349,27782.02
40270,39464.6
37512,33760.8
53504,50293.76
13877,13877
33505,32164.8
39412,38623.76
23908,23429.84
26817,26817
33288,31956.48
18269,18269
29219,28634.62
30031,29430.38
14283,14283
43186,38867.4
28963,28383.74
30580,29356.8
19004,15963.36
40554,39742.92
21079,21079
38913,38134.74
48193,43373.7
51502,50471.96
29160,28576.8
30336,26088.96
27323,27323
37523,37523
26481,25421.76
43647,42774.06
27288,26742.24
26229,25179.84
25748,25748
42761,41050.56
49356,44420.4
30767,28920.98
41880,35179.2
16426,16426
35987,35267.26
35584,34160.64
36640,35907.2
51226,46103.4
40533,39722.34
31673,27872.24
43154,42290.92
37301,37301
31613,30980.74
30761,30761
27079,26537.42
36589,35857.22
34644,33951.12
41467,40637.66
30100,30100
34437,30304.56
40478,40478
34380,33004.8
17991,17991
31234,31234
39565,34817.2
26563,26563
37650,33132
33173,32509.54
28870,28292.6
38721,35623.32
17018,17018
30463,29853.74
16281,15955.38
37564,34558.88
22984,22524.32
35269,34563.62
15688,15374.24
15943,15943
13959,13959
35874,35156.52
11055,11055
26580,26048.4
12483,12483
26225,25176
18136,17410.56
39527,34783.76
37681,36927.38
39767,38971.66
41549,39887.04
36636,35903.28
46236,45311.28
40874,39239.04
14369,14369
33034,31712.64
24412,23435.52
18666,18666
49469,44522.1
37043,36302.14
44547,44547
9680,9680
19176,18792.48
36636,35903.28
52951,46596.88
41767,35919.62
33824,33147.52
38380,37612.4
48353,47385.94
23590,20287.4
19523,18742.08
34653,33266.88
15485,15485
10382,10382
32962,32302.76
27309,26762.82
24809,24312.82
22190,19971
15652,14399.84
21850,21413
19209,18824.82
25550,25039
30929,30310.42
21413,20128.22
47930,44095.6
36344,32709.6
30715,30100.7
33127,29151.76
33110,32447.8
30368,28545.92
43938,43938
27254,27254
27072,27072
