iso_o,iso_d,Distw,Dist_coord,Evercol,Comlang,Contig
ABW,MAC,16137.8877,16138.43256,0,0,0
ABW,MAR,6777.430812,6700.53661,0,0,0
ABW,MDA,9653.516884,9657.529189,0,0,0
ABW,MDG,13328.06937,13325.24582,0,0,0
ABW,MDV,15591.32508,15580.17884,0,0,0
ABW,MEX,3516.020819,3199.199703,0,0,0
ABW,MKD,9217.800481,9199.902397,0,0,0
ABW,MLI,6799.604263,6714.931738,0,0,0
ABW,MLT,8711.659522,8710.302962,0,1,0
ABW,MMR,16303.35783,16418.93633,0,0,0
ABW,MNG,13300.45707,13288.17715,0,0,0
ABW,MOZ,12049.37915,12259.97779,0,0,0
ABW,MRT,5932.266213,5814.759437,0,0,0
ABW,MTQ,998.6533545,996.55935,0,0,0
ABW,MUS,14382.70149,14375.23465,0,1,0
ABW,MWI,11885.31188,11806.74826,0,1,0
ABW,MYS,18042.02103,18048.92914,0,0,0
ABW,NAM,10238.19805,10248.47415,0,1,0
ABW,NCL,13994.36711,13956.00206,0,0,0
ABW,NER,8090.482295,7785.497055,0,0,0
ABW,NGA,8276.090847,8059.947553,0,1,0
ABW,NIC,1764.174891,1761.62617,0,0,0
ABW,NLD,7908.407444,7888.05831,1,1,0
ABW,NOR,8240.808438,8292.900177,0,0,0
ABW,NPL,14806.04562,14813.49726,0,0,0
ABW,NRU,13620.22922,13599.04222,0,1,0
ABW,NZL,13079.86588,13018.37549,0,1,0
ABW,OMN,13071.64101,13136.18454,0,0,0
ABW,PAK,13748.6644,13772.53361,0,1,0
ABW,PAN,1182.385733,1109.832576,0,0,0
ABW,PER,2758.857643,2838.34736,0,0,0
ABW,PHL,16868.51916,16766.94249,0,1,0
ABW,PNG,15932.05114,15945.4165,0,1,0
ABW,POL,8884.096646,8980.925904,0,0,0
ABW,PRK,13996.79206,14055.0719,0,0,0
ABW,PRT,6626.685056,6627.068091,0,0,0
ABW,PRY,4436.560162,4411.423485,0,0,0
ABW,PYF,9363.776092,9344.995022,0,0,0
ABW,QAT,12418.48877,12419.02055,0,0,0
ABW,REU,14168.52001,14161.06771,0,0,0
ABW,ROM,9448.061215,9515.455829,0,0,0
