value predictor(x_i),resource consumption(x_i),def_value1,value predictor(x_change),resource consumption(x_change),def_value2,diff_1,change_1,change_1  pct,diff_2,change_2,change_2 pct,,Employee,dc1 diff,dc1 ,dc1 pct,dc2 diff
-9725,27710,-0.350956333,-3076.709,23830.6,-0.129107492,6648.291,0.683628895,68.36288946,0.221848841,0.632126622,63.21266216,,31,0.221848841,0.632126622,63.21266216,
-13392.83912,21325,-0.62803466,-9126.1751,20898.5,-0.436690437,4266.664024,0.318578009,31.85780091,0.191344223,0.304671438,30.46714378,,32,0.191344223,0.304671438,30.46714378,
-23317.8834,34296,-0.679900962,-17143.63224,32238.24,-0.53177941,6174.251158,0.264786089,26.47860894,0.148121552,0.217857542,21.78575419,,33,0.148121552,0.217857542,21.78575419,
-12702,17695,-0.717829895,-8453.0766,16987.2,-0.497614474,4248.9234,0.334508219,33.45082192,0.220215421,0.306779395,30.6779395,,34,0.220215421,0.306779395,30.6779395,
-15537.625,22513,-0.690162351,-10586.23238,22062.74,-0.47982401,4951.39262,0.318671137,31.86711367,0.210338341,0.304766466,30.4766466,,35,0.210338341,0.304766466,30.4766466,
-15709,17667,-0.889171902,-15709,17667,-0.889171902,0,0,0,0,0,0,,36,0,0,0,
-13719,14657,-0.936003275,-10494.70116,14657,-0.716019728,3224.29884,0.235024334,23.50243341,0.219983546,0.235024334,23.50243341,,37,0.219983546,0.235024334,23.50243341,
-27491,36428,-0.75466674,-19473.1972,34970.88,-0.556840354,8017.8028,0.291651915,29.16519152,0.197826386,0.262137412,26.21374116,,38,0.197826386,0.262137412,26.21374116,
-8427.216145,10390,-0.811089138,-8428.99,10390,-0.811259865,-1.773854627,-0.000210491,-0.021049117,-0.000170727,-0.000210491,-0.021049117,,39,-0.000170727,-0.000210491,-0.021049117,
-11003.57776,17951,-0.612978539,-5974.997349,16514.92,-0.361793902,5028.580411,0.456995036,45.69950357,0.251184637,0.409777213,40.97772127,,40,0.251184637,0.409777213,40.97772127,
-19334,27283,-0.70864641,-12782.26038,26191.68,-0.48802751,6551.73962,0.338871399,33.88713986,0.2206189,0.311324374,31.13243735,,41,0.2206189,0.311324374,31.13243735,
-27068,34036,-0.795275591,-18894.59496,32674.56,-0.57826624,8173.40504,0.301958218,30.19582178,0.21700935,0.272873144,27.28731436,,42,0.21700935,0.272873144,27.28731436,
-29155,35119,-0.830177397,-22127.1262,34416.62,-0.642919793,7027.873804,0.241052094,24.10520941,0.187257604,0.225563361,22.55633613,,43,0.187257604,0.225563361,22.55633613,
-20996,33953,-0.618384237,-13522.9447,29878.64,-0.452595724,7473.0553,0.355927572,35.59275719,0.165788513,0.268099514,26.80995135,,44,0.165788513,0.268099514,26.80995135,
-21170.97109,29158,-0.726077615,-14752.12897,28574.84,-0.516262872,6418.84212,0.303190727,30.31907272,0.209814743,0.28897013,28.89701298,,45,0.209814743,0.28897013,28.89701298,
-16120,24098,-0.668935181,-10815.06628,23616.04,-0.457954267,5304.93372,0.329090181,32.90901811,0.210980915,0.315398144,31.5398144,,46,0.210980915,0.315398144,31.5398144,
-9824,16797,-0.584866345,-5456.899081,15789.18,-0.345610037,4367.100919,0.444533888,44.45338883,0.239256308,0.409078605,40.90786046,,47,0.239256308,0.409078605,40.90786046,
-17463,25466,-0.685737847,-12366.43849,24956.68,-0.49551617,5096.561512,0.291849139,29.18491389,0.190221677,0.27739708,27.73970805,,48,0.190221677,0.27739708,27.73970805,
-8521,15515,-0.549210442,-4795.5382,14894.4,-0.32196921,3725.4618,0.437209459,43.7209459,0.227241232,0.413759853,41.37598531,,49,0.227241232,0.413759853,41.37598531,
-36374,43430,-0.83753166,-26813.3198,42561.4,-0.62999149,9560.6802,0.262843795,26.2843795,0.20754017,0.247799791,24.77997908,,50,0.20754017,0.247799791,24.77997908,
-11440,14426,-0.793012616,-7975.624952,14426,-0.552864616,3464.375048,0.302829987,30.28299867,0.240148,0.302829987,30.28299867,,51,0.240148,0.302829987,30.28299867,
-19514,36521,-0.534322718,-11473.42221,35790.58,-0.320571005,8040.577788,0.412041498,41.20414978,0.213751713,0.400042345,40.00423447,,52,0.213751713,0.400042345,40.00423447,
-35316,52322,-0.674974198,-24845.73994,50229.12,-0.494648123,10470.26006,0.296473555,29.64735549,0.180326075,0.267159953,26.7159953,,53,0.180326075,0.267159953,26.7159953,
-30420.25,38350,-0.793226858,-21978.648,37583,-0.584802916,8441.602,0.277499429,27.74994288,0.208423942,0.262754519,26.27545192,,54,0.208423942,0.262754519,26.27545192,
-29876,36850,-0.810746269,-21766.691,36113,-0.602738377,8109.309,0.27143222,27.14322198,0.208007892,0.25656349,25.65634896,,55,0.208007892,0.25656349,25.65634896,
-8784.862776,20726,-0.423857125,-4223.070176,18238.88,-0.231542188,4561.7926,0.519278754,51.92787544,0.192314937,0.453725857,45.37258573,,56,0.192314937,0.453725857,45.37258573,
-31385.80377,38366,-0.818062966,-22940.67985,37598.68,-0.610145884,8445.12392,0.269074642,26.90746422,0.207917082,0.254157798,25.41577982,,57,0.207917082,0.254157798,25.41577982,
-9051.75,16987,-0.532863366,-4632.75182,15967.78,-0.290131241,4418.99818,0.48819269,48.81926898,0.242732126,0.455524138,45.55241381,,58,0.242732126,0.455524138,45.55241381,
-22437.83555,26358,-0.85127231,-22437.83555,26358,-0.85127231,0,0,0,0,0,0,,59,0,0,0,
-14149,27114,-0.521833739,-8180.12404,26571.72,-0.307850754,5968.87596,0.421858503,42.18585031,0.213982985,0.410059697,41.0059697,,60,0.213982985,0.410059697,41.0059697,
-25212.55487,28172,-0.894950833,-20138.78114,28172,-0.714850956,5073.773729,0.201239968,20.12399677,0.180099877,0.201239968,20.12399677,,61,0.180099877,0.201239968,20.12399677,
-25879.375,27852,-0.929174745,-25883.99773,27852,-0.92934072,-4.622725418,-0.000178626,-0.017862585,-0.000165975,-0.000178626,-0.017862585,,62,-0.000165975,-0.000178626,-0.017862585,
-28083.625,30104,-0.932886826,-24471.26542,30104,-0.812890826,3612.359584,0.128628679,12.8628679,0.119996,0.128628679,12.8628679,,63,0.119996,0.128628679,12.8628679,
-28513,31505,-0.905030947,-24099.7796,31505,-0.764950947,4413.2204,0.154779238,15.47792375,0.14008,0.154779238,15.47792375,,64,0.14008,0.154779238,15.47792375,
-39309,42319,-0.928873556,-30842.83014,41472.62,-0.743691383,8466.169864,0.215374847,21.53748471,0.185182172,0.199362089,19.93620889,,65,0.185182172,0.199362089,19.93620889,
-16439,23391,-0.702791672,-10821.88526,22455.36,-0.481928825,5617.11474,0.34169443,34.16944303,0.220862847,0.314265032,31.42650316,,66,0.220862847,0.314265032,31.42650316,
-21996,32976,-0.667030568,-14736.66336,32316.48,-0.456010783,7259.33664,0.330029853,33.00298527,0.211019784,0.316356993,31.63569926,,67,0.211019784,0.316356993,31.63569926,
