Expected Tenure 1,Expected Tenure 2,,Employee,Percentage Change,,change,difference
7,2.274481682,,113,-67.50740454,,-0.675074045,-4.725518318
4,82.74671278,,114,1968.66782,,19.6866782,78.74671278
8,24.75,,115,209.375,,2.09375,16.75
7,2.020896766,,116,-71.1300462,,-0.711300462,-4.979103234
3.255318327,3.39988093,,117,4.440813109,,0.044408131,0.144562603
7,7,,118,0,,0,0
4,4,,119,0,,0,0
4,0.570138305,,120,-85.74654238,,-0.857465424,-3.429861695
8,8.683206984,,121,8.5400873,,0.085400873,0.683206984
16.625,12,,122,-27.81954887,,-0.278195489,-4.625
26.375,52.83502141,,123,100.3223561,,1.003223561,26.46002141
9.418822514,9.332458922,,124,-0.91692557,,-0.009169256,-0.086363592
9.75,12,,125,23.07692308,,0.230769231,2.25
9.75,90.40048477,,126,827.1844592,,8.271844592,80.65048477
2,0.338882349,,127,-83.05588255,,-0.830558826,-1.661117651
2,0.496728628,,128,-75.1635686,,-0.751635686,-1.503271372
11,14,,129,27.27272727,,0.272727273,3
4.5,14.75,,130,227.7777778,,2.277777778,10.25
2.15,37.22379273,,131,1631.339197,,16.31339197,35.07379273
2.042075177,18.7271221,,132,817.0633046,,8.170633046,16.68504692
2.196687141,2.052508335,,133,-6.563465653,,-0.065634657,-0.144178806
7,4,,134,-42.85714286,,-0.428571429,-3
2,87.28545583,,135,4264.272792,,42.64272792,85.28545583
7,7,,136,0,,0,0
8,13,,137,62.5,,0.625,5
9,15,,138,66.66666667,,0.666666667,6
7,7,,139,0,,0,0
4,48.82956171,,140,1120.739043,,11.20739043,44.82956171
2.124821179,2.702372289,,141,27.18116309,,0.271811631,0.57755111
9.625,16.125,,142,67.53246753,,0.675324675,6.5
18.25,33.5432241,,143,83.79848822,,0.837984882,15.2932241
4.439457746,4.493941333,,144,1.227257699,,0.012272577,0.054483587
2.09,2.047811613,,145,-2.01858311,,-0.020185831,-0.042188387
2,1.297713493,,146,-35.11432535,,-0.351143254,-0.702286507
13.06384317,13.2661754,,147,1.548795614,,0.015487956,0.20233223
2.026874946,2.157075676,,148,6.423717963,,0.06423718,0.13020073
4,2.054709149,,149,-48.63227128,,-0.486322713,-1.945290851
4,2.439184925,,150,-39.02037688,,-0.390203769,-1.560815075
4,2.062605924,,151,-48.4348519,,-0.484348519,-1.937394076
3,3,,152,0,,0,0
