Employee,Years
1,12.375
2,7
3,2.135751111
4,7
5,4
6,0.12
7,9
8,7.08
9,4
10,7
11,2.126225918
12,2.359955731
13,9.875
14,2.040951431
15,1
16,8.359080095
17,4
18,2.036924523
19,7
20,0.02
21,15
22,8
23,7
24,7
25,4
26,7
27,2
28,3.025581389
29,2.036655046
30,2
31,8
32,0.03
33,0.05
34,10
35,12.25
36,7
37,4
38,7
39,0.006201174
40,3.12
41,7
42,3
43,15
44,8
45,2.01140975
46,8
47,6.55
48,9
49,9
50,15
51,16
52,14
53,2
54,5.75
55,3
56,2.12
57,3.194559476
58,4.125
59,1.164446117
60,7
61,1.047845743
62,12.625
63,18.375
64,2
65,7
66,7
67,8
68,4.427732255
69,7
70,11
71,2.14825945
72,7
73,3
74,4
75,19.125
76,7
77,8
78,8
79,10
80,9
81,7
82,2.264968507
83,7
84,10.43188864
85,2.06
86,0.2198918
87,13
88,7
89,7
90,7
91,2.047335649
92,0.03
93,29.625
94,7
95,4
96,2
97,4
98,10
99,7.26
100,0.09
101,12.53063647
102,7
103,7
104,24.75
105,4.198519774
106,2.516970953
107,11
108,3
109,3
110,9.875
111,13
112,3
113,13
114,8
115,9
116,13
117,7
118,4
119,8
120,7
121,3.255318327
122,7
123,4
124,4
125,8
126,16.625
127,26.375
128,9.418822514
129,9.75
130,9.75
131,2
132,2
133,11
134,4.5
135,2.15
136,2.042075177
137,2.196687141
138,7
139,2
140,7
141,8
142,9
143,7
144,4
145,2.124821179
146,9.625
147,18.25
148,4.439457746
149,2.09
150,2
151,13.06384317
152,2.026874946
153,4
154,4
155,4
156,3
157,8
158,10
159,15.75
160,9
161,15
162,18
163,7
164,13
165,8.159282185
166,7
167,3
168,7
169,0.01
170,7
171,2.08
172,7
173,3.17
174,4
175,2.029684233
176,4
177,2.03
178,7
179,13.75
180,8
181,15
182,7
183,7.41
184,3
185,11
186,2.150543126
187,15
188,10.32664467
189,6
190,2
191,9
192,10
193,8
194,4
195,17
196,2.073213184
197,7
198,23.375
199,15
200,3.300481564
201,2.407784537
202,2.012728722
203,0.06
204,12.75
205,7
206,2.357486033
207,2.04
208,15.25
209,2
210,2.681700706
211,7
212,5
213,4
214,3
215,2.079089447
216,7
217,15
218,2
219,1.256897569
220,8
221,3
222,15
223,1
224,7
225,7
226,7.140804354
227,13
228,10.26919801
229,2.006543398
230,4.041814707
231,2.002846038
232,7
233,8
234,7
235,5.411898321
236,7
237,7
238,20.5
239,8
240,7
241,7
242,12
243,7
244,4
245,7
246,2
247,3
248,2.184686544
249,7
250,17.25
251,0.09
252,2
253,11.75
254,0.293380677
255,7
256,7
257,10
258,8
259,8
260,8.78
261,7
262,4
263,2.372811961
264,10.73739804
265,2.182585781
266,7
267,10
268,7
269,7
270,4
271,18
272,4.181560845
273,9
274,7
275,8
276,14.375
277,15
278,9
279,7
280,7.03
281,7
282,3.00729369
283,0.007240685
284,19.375
285,7
286,2.035178296
287,9
288,8
289,3
290,11.77511568
291,18
292,14
293,7
294,2.216219177
295,5
296,0.04
297,7
298,3.070954826
299,2.289369647
300,1
301,7
302,7.343111876
303,3
304,8
305,7
306,2
307,9
308,7
309,7
310,2.079377707
311,4.738664792
312,0.04
313,7
314,2.125
315,4
316,1.083316557
317,2.105730685
318,7
319,7
320,7
321,4
322,7
323,3
324,0.01
325,2
326,15
327,7.33
328,4.08954433
329,3
330,2
331,15
332,2
333,7
334,2.04890135
335,17.25
336,4
337,7
338,7
339,11
340,2.21
341,15
342,7.973392157
343,4.011319351
344,8
345,1
346,7
347,2.06
348,7
349,4
350,4.587942692
351,9
352,9
353,7
354,0.124082838
355,22.5
356,2.109457039
357,3.09
358,7
359,9.100242844
360,7
361,10.0491542
362,7.124871478
363,13.35138481
364,2
365,7
366,4.185220514
367,0.03
368,7
369,7
370,8
371,3
372,7.16
373,2.158346977
374,7
375,7.485247545
376,10
377,7
378,27.125
379,7
380,4
381,7
382,15
383,9
384,7
385,7
386,4.300260645
387,2
388,7.04
389,1
390,7
391,8
392,7
393,7
394,23.5
395,7
