Employee,Years
396,10.75
397,2.018572517
398,7
399,7.625
400,10
401,5
402,4
403,0.01
404,7
405,4.010871441
406,7
407,2.013606145
408,7.065122704
409,13
410,4
411,4
412,7
413,7
414,0.066322645
415,7.75
416,7
417,2.601862199
418,7
419,3
420,7
421,4
422,2
423,5.192980149
424,2
425,9
426,13
427,4
428,9
429,4
430,11
431,11
432,7.51
433,2.01572371
434,2.008740555
435,0.01
436,2.011965881
437,4
438,14
439,7
440,4
441,10
442,0.121858032
443,8.043639393
444,8
445,9.998629162
446,8
447,7
448,8
449,15
450,12.125
451,13
452,7
453,7
454,4
455,15
456,15
457,2.05
458,8.11
459,7
460,7
461,7
462,19.25
463,0.05
464,4
465,7
466,3.40272448
467,3.443538659
468,11.625
469,4
470,7
471,2.059250926
472,2.05
473,7
474,8
475,2
476,2
477,7
478,5
479,7.06
480,4
481,5.663570912
482,8
483,3.116364353
484,2.085509924
485,11.5
486,4
487,3.015060342
488,3
489,3.09
490,7.35
491,7
492,2.247636687
493,2.05
494,7.17
495,4
496,15
497,0.016879226
498,4
499,7
500,15
501,15
502,9
503,7
504,2.062781796
505,3.271042348
506,2.097968374
507,13
508,2
509,2
510,4
511,20.5
512,7
513,4
514,7
515,15
516,7
517,7.19
518,2.082925892
519,0.025872732
520,7
521,4
522,3.105627363
523,17
524,5
525,14
526,3
527,6
528,7
529,7
530,4
531,8
532,4
533,2
534,2.132305807
535,2.029516413
536,2
537,4.015993711
538,4
539,14
540,1
541,4
542,2.031756969
543,2.098786261
544,8
545,2.02
546,4
547,4
548,7
549,10
550,4
551,14
552,7
553,7
554,7
555,7
556,4.176441149
557,3.142862285
558,3.103749656
559,13
560,3
561,2
562,8.014571714
563,3
564,2.009052069
565,4
566,1
567,4.008889774
568,2.119755513
569,7
570,7
571,7
572,9.043122322
573,0.052398483
574,8
575,4
576,15
577,1
578,2
579,8
580,13
581,8
582,9.75
583,2
584,8
585,7
586,7
587,3
588,4
589,8.24
590,39.625
591,7
592,7
593,9
594,8
595,14.25
596,7
597,8.529364638
598,4
599,3.255273255
600,7
601,7
602,16
603,2.0010739
604,8
605,4
606,11
607,1.04
608,12
609,3
610,3.299741842
611,0.119095218
612,8
613,10
614,7.650501396
615,8
616,4
617,7
618,11
619,2.1
620,7
621,2.001178842
622,2.093270687
623,2
624,0.02
625,7
626,11.25
627,16
628,0.04
629,11.08016709
630,7.241328676
631,8
632,2.021785495
633,7
634,7.04
635,7
636,7
637,3.153870258
638,7.293750602
639,2
640,0.02
641,2.202171701
642,7
643,3.0502196
644,8
645,3.314621002
646,15
647,7
648,4
649,9
650,7.24
651,3
652,13
653,4
654,2.538028307
655,7
656,9.687149438
657,10.375
658,2.096488266
659,7
660,11.75
661,7
662,2.039756731
663,7
664,2
665,7
666,8
667,2
668,7
669,10
670,7
671,7.19
672,5.01
673,9.75
674,15
675,2
676,7.01
677,15
678,2.07
679,4.217614198
680,9
681,2.358334935
682,4
683,3
684,9
685,3
686,5
687,3
688,12
689,7
690,2
691,4
692,7
693,2.185265625
694,6
695,4.03
696,15
697,4.032294102
698,4
699,4
700,13
701,8
702,3
703,7.034354333
704,21.375
705,2.056105713
706,0.280383793
707,7
708,8
709,1.049339044
710,2.017074905
711,8.335183793
712,2.025690376
713,10
714,4
715,38
716,0.07
717,7
718,3.305047992
719,2
720,7
721,5
722,7
723,7
724,7
725,13
726,7.102617722
727,11.85331182
728,2
729,7
730,3.09628375
731,7.022436676
732,2.125
733,10
734,7.063576105
735,10
736,3
737,4
738,13
739,7
740,7
741,10.375
742,7
743,8
744,2.010676534
745,15
746,7
747,9
748,4
749,15
750,7
751,10
752,0.02
753,3.230114573
754,7
755,7
756,10
757,2
758,10
759,11.75
760,0.369116305
761,0.217241689
762,5.52
763,9.145771748
764,7
765,4
766,10.01608184
767,7
768,8.079639775
769,4
770,15
771,9.25
772,4
773,2
774,7.114756602
775,17.5
776,2.053268508
777,2
778,7
779,2.147406551
780,2.061774397
781,8
782,7
783,9.040046664
784,2.07
785,7
786,7.67
787,7
788,8
789,7
790,7
791,11.75
792,9
793,7
794,14
795,10
796,7
797,2.116727422
798,9
799,16
800,3.095426526
801,7
802,9.263934313
803,7
804,9
805,4
806,4
807,9.204014956
808,12.25
809,3
810,7
811,0.02
812,7.74
813,3
814,16
815,7
816,18.625
817,7.246082794
818,2.15191925
819,11
820,4
821,4.040958665
822,7
823,2.003826348
824,6.25
825,8
826,4
827,7
828,3
829,4
830,7.127628652
831,4
832,3.081247554
833,7.030591482
834,9
835,3
836,2.03599749
837,2.073457541
838,7
839,14
840,9
841,15
842,7.181153677
843,4.085222521
844,3
845,7
846,3.030291095
847,2
848,7
849,4
850,5
851,7
852,4
853,17
854,9.5
855,4
856,9
857,3
858,9
859,8.280466419
860,7
861,2.033753183
862,2
863,3
864,8.007320294
865,4.117107424
866,2.03746136
867,15
868,7
769,2
870,4
871,4
872,9.051190703
873,4
874,9
875,2
876,0.04
877,9.375
879,8.432528328
879,15
880,0.005572501
881,0.04
882,7
883,8
884,3.03940537
885,2.210557729
886,13
887,4.157345172
888,0.013976258
889,3
890,4
891,3
892,8
893,0.028608591
894,4
895,9
896,7
897,2
898,15
899,8
900,4
901,20.5
902,7
903,13
904,1.188816908
905,9
906,7.1
907,3.651610217
908,13
909,8.442248381
910,4.018926493
911,14
912,8.167095077
913,1.135373541
914,7
915,20.75
916,3.014527782
917,2
918,3
919,7.041800779
920,2
921,2.59
922,3.001435155
923,2
924,4
925,6.125
926,7
927,0.01
928,7
929,2.052375977
930,0.178600632
931,8.495955827
932,4
933,2
934,9
935,7
936,8
937,7
938,2
939,2.076150875
940,2.40775683
941,7
942,12
943,7
944,4.355929251
945,6
946,0.03
947,10
948,2.009580839
949,9.7823957
950,2.00697573
951,10
952,5.25
953,7
954,8
955,3
956,2.215890155
957,8
958,6.1
959,8
960,7
961,15
962,10.625
963,4
964,7
965,15.625
966,15
967,11
968,4
969,8
970,9
971,7
972,8
973,2.35971929
974,7
975,7
976,3.114084575
977,2.13
978,4
979,4
980,7
981,8.875
982,8
983,6.592386744
984,15
985,2.097141279
986,8.090087363
987,4
988,15
989,2.082327799
990,7
991,10
992,15
993,13
994,7
995,3
996,5.092951273
997,2
998,2.06
999,3.02590813
1000,7
1001,7.12
1002,2
1003,2.097274443
1004,5
1005,2.672980699
1006,7
1007,0.309497414
1008,7
1009,7
1010,3
1011,10.28685344
1012,7
1013,11
1014,7
1015,9
1016,8.22
1017,4.51
1018,9
1019,4
1020,8.274581152
1021,4
1022,7.04
1023,15
1024,2.08
1025,7
1026,3
1027,2.626264084
1028,2.02
1029,2
1030,2.108885679
1031,7.625
1032,8
1033,8
1034,2
1035,7
1036,2.292112583
1037,4.151279585
1038,8
1039,4
1040,10
1041,2
1042,7
1043,2.039873068
1044,3
1045,4
1046,2.152083091
1047,8
1048,2
1049,9.375
1050,4
1051,2
1052,7
1053,7
1054,7
1055,7
1056,3.142426759
1057,7
1058,11.75
1059,3.15
1060,14
1061,7
1062,7.097383212
1063,4
1064,4.013126127
1065,8
1066,7
1067,4
1068,2
1069,8.404272712
1070,7
1071,9
1072,4
1073,4
1074,2.085832965
1075,4
1076,0.07
1077,7
1078,13
1079,3
1080,2.04
1081,4
1082,16.125
1083,8
1084,7
1085,8
1086,9.38
1087,4.707769203
1088,11.46214053
1089,7
1090,2
1091,3
1092,2.03
1093,3
1094,4
1095,7
1096,0.057937264
1097,7.435179486
1098,0.311930277
1099,8
1100,4
1101,8
1102,0.01
1103,3.109333615
1104,4
1105,13
1106,2.019692073
1107,7
1108,0.637347685
1109,17
1110,12.125
1111,0.334223723
1112,15
1113,15
1114,6.071536112
1115,2.01
1116,7
1117,0.02
1118,9
1119,8
1120,4
1121,4
1122,4
1123,2.000278548
1124,8
1125,2
1126,7.13
1127,2
1128,7
1129,17
1130,7
1131,4
1132,4.015055207
1133,15
1134,3
1135,4
1136,2.153090017
1137,7.2
1138,3
1139,7
1140,8
1141,2.019051552
1142,13
1143,10
1144,10
1145,3
1146,7
1147,21.25
1148,7
1149,2.08
1150,15
1151,2
1152,4
1153,3.158337604
1154,2.080447386
1155,13
1156,9
1157,8
1158,7.058109874
1159,7
1160,7
1161,19.125
1162,3
1163,8
1164,8
1165,2
1166,4
1167,9.875
1168,12
1169,2.091342828
1170,14
1171,2
1172,9
1173,10.10543191
1174,7.306674689
1175,3
1176,3.966810755
1177,4
1178,9
1179,8.019411457
1180,2
1181,8
1182,2.140292422
1183,20.375
1184,1.015766957
1185,13
1186,2.027390669
1187,7
1188,3.393461406
1189,4
1190,8.065266306
1191,4
1192,4
1193,8
1194,17.375
1195,4
1196,1
1197,2.005142513
1198,14
1199,16
1200,12
1201,14
1202,3.012642547
1203,8
1204,4
1205,2.09
1206,7
1207,7.188601263
1208,3
1209,12
1210,7
1211,7.191434563
1212,8
1213,15.25
1214,4.009564185
1215,4
1216,7
1217,8
1218,4
1219,4
1220,2.063111659
1221,7
1222,3.045137191
1223,3.45
1224,3.08437257
1225,7
1226,9.480084257
1227,7
1228,2.028639452
1229,4
1230,7.75
1231,2.353681137
1232,7
1233,4
