Expected Tenure 1,Expected Tenure 2,,,,,
8,71.18230639,,,,,
9.38,9.898243662,,,,,
4.707769203,32.04813065,,,,,
11.46214053,12,,,,,
7,7,,,,,
2,4,,,,,
3,2.014132733,,,,,
2.03,41.47815759,,,,,
3,3,,,,,
4,3.153867591,,,,,
7,7,,,,,
0.057937264,0.207644486,,,,,
7.435179486,65.0583133,,,,,
0.311930277,0.163391,,,,,
8,33.625,,,,,
4,66.73130844,,,,,
8,21.0698886,,,,,
0.01,0.064622981,,,,,
3.109333615,3.88433127,,,,,
4,2.120172281,,,,,
13,64.2404174,,,,,
2.019692073,2.02903567,,,,,
7,7,,,,,
0.637347685,0.387078745,,,,,
12.125,20.13436358,,,,,
0.334223723,0.334223723,,,,,
15,15,,,,,
15,15,,,,,
6.071536112,14.375,,,,,
2.01,2.094848984,,,,,
7,2.534757536,,,,,
0.02,0.437456593,,,,,
9,16.43849931,,,,,
8,63.97215466,,,,,
4,4,,,,,
4,2.433122211,,,,,
4,3.703871803,,,,,
2.000278548,2.058901054,,,,,
8,80.12513801,,,,,
2,2,,,,,
7.13,7.084310476,,,,,
2,0.307891469,,,,,
7,92.51687968,,,,,
17,17,,,,,
7,2,,,,,
4,3,,,,,
4.015055207,4.022930127,,,,,
15,7.015688301,,,,,
3,2.088949269,,,,,
4,2.176994895,,,,,
2.153090017,2.140802009,,,,,
7.2,12.75,,,,,
3,2.219301077,,,,,
7,7,,,,,
8,17.375,,,,,
2.019051552,2.029951059,,,,,
13,18.51281832,,,,,
10,26.375,,,,,
10,10,,,,,
3,0.23184338,,,,,
7,2,,,,,
21.25,30.625,,,,,
7,15,,,,,
2.08,2.227207789,,,,,
15,15,,,,,
2,0.212977887,,,,,
4,3.014607623,,,,,
3.158337604,13,,,,,
2.080447386,2.350064258,,,,,
13,13,,,,,
9,12.32954899,,,,,
8,74.12471654,,,,,
7.058109874,69.01361335,,,,,
7,7,,,,,
7,2,,,,,
19.125,9,,,,,
3,0.570487905,,,,,
8,57.21672224,,,,,
8,12,,,,,
2,0.125404484,,,,,
4,4,,,,,
9.875,32.375,,,,,
12,54.98783994,,,,,
2.091342828,2.018088152,,,,,
14,14,,,,,
2,0.374499527,,,,,
9,9.529789502,,,,,
10.10543191,10.10543191,,,,,
7.306674689,7.107295751,,,,,
3,2.038241985,,,,,
3.966810755,4,,,,,
4,2.601147725,,,,,
9,25.625,,,,,
8.019411457,9,,,,,
2,2,,,,,
8,9,,,,,
2.140292422,2.096313806,,,,,
20.375,45.21724012,,,,,
1.015766957,66.24463924,,,,,
13,21.03638886,,,,,
2.027390669,2.08156428,,,,,
7,7,,,,,
3.393461406,3.115440814,,,,,
4,4,,,,,
8.065266306,8.024285534,,,,,
4,2.087599467,,,,,
4,2.009723114,,,,,
8,62.05118715,,,,,
17.375,73.47636809,,,,,
4,2.394192737,,,,,
1,0.175334049,,,,,
2.005142513,60.88232732,,,,,
14,14,,,,,
12,75.89114577,,,,,
14,12.27999831,,,,,
3.012642547,3.148921269,,,,,
8,65.31581689,,,,,
4,4,,,,,
2.09,88.06945298,,,,,
7,0.997440537,,,,,
7.188601263,40.80361937,,,,,
3,2.359422933,,,,,
12,89.60693208,,,,,
7,7,,,,,
7.191434563,10,,,,,
8,26.7888006,,,,,
15.25,32.55351881,,,,,
4.009564185,4.022467058,,,,,
4,2.003229267,,,,,
7,7,,,,,
8,7.093530425,,,,,
4,4,,,,,
4,4,,,,,
2.063111659,2.047534699,,,,,
7,7,,,,,
3.045137191,3.114374046,,,,,
3.45,28.0269331,,,,,
3.08437257,80.67243628,,,,,
7,30.00972301,,,,,
9.480084257,15,,,,,
7,7,,,,,
2.028639452,86.0183739,,,,,
4,2.064348758,,,,,
7.75,69.09752976,,,,,
2.353681137,2.284097674,,,,,
7,7,,,,,
4,3.043097381,,,,,
6.415689786,17.59016163,,,,,
4.447217108,24.48960659,,,,,
#N/A,,,,,,
7,7,,,,,
7,7,,,,,
6.415689786,17.59016163,,,,,
,,,,,,
,,,,,,
174.1741297,,,,,,
