r1,r2,e
41378,40550.44,339
26740,26205.2,340
41628,35800.08,341
52374,47136.6,342
33217,31888.32,343
35603,34890.94,344
26393,25337.28,345
31897,31259.06,346
25501,24990.98,347
30355,30355,348
31020,27918,349
33201,33201,350
28842,28842,351
42609,39200.28,352
34277,29478.22,353
28298,25468.2,354
34461,34461,355
20267,19050.98,356
28231,27666.38,357
36447,36447,358
15700,15700,359
44430,43541.4,360
34459,33769.82,361
12861,12861,362
24610,22641.2,363
30442,29833.16,364
23158,23158,365
25599,25599,366
30756,30756,367
20487,19257.78,368
29759,29163.82,369
37316,33584.4,370
24794,24794,371
25203,25203,372
26827,24144.3,373
28933,28933,374
30872,30254.56,375
29825,29825,376
22927,22927,377
25995,25995,378
36903,36903,379
35070,31563,380
17756,17756,381
24675,24181.5,382
29543,28952.14,383
39139,38356.22,384
46684,45750.32,385
45536,44625.28,386
30399,29791.02,387
12432,12432,388
24348,23374.08,389
14752,14752,390
28516,28516,391
35138,35138,392
28545,27974.1,393
30497,29277.12,394
44642,41070.64,395
41620,39955.2,396
26465,23818.5,397
42493,39943.42,398
29594,29002.12,399
32872,32214.56,400
38046,37285.08,401
29403,27638.82,402
19050,18288,403
39445,34711.6,404
30094,30094,405
34670,33976.6,406
21223,21223,407
26204,25679.92,408
22998,22538.04,409
21170,20746.6,410
15552,15552,411
24429,23940.42,412
28080,27518.4,413
20542,20542,414
39307,34590.16,415
42635,40929.6,416
34991,34991,417
18695,18321.1,418
31234,31234,419
37186,36442.28,420
18522,18522,421
31751,31751,422
32057,31415.86,423
36896,35420.16,424
18126,18126,425
20748,19503.12,426
28409,27840.82,427
26522,25991.56,428
20224,19010.56,429
30031,30031,430
26356,22666.16,431
23851,23373.98,432
30694,30080.12,433
18334,18334,434
31908,31269.84,435
20248,19438.08,436
30339,29125.44,437
14062,14062,438
37485,32237.1,439
30534,30534,440
40730,35027.8,441
23137,23137,442
25725,24696,443
30717,30717,444
29939,29939,445
30028,30028,446
31835,31198.3,447
17029,17029,448
37550,36048,449
19488,19488,450
46827,42144.3,451
32298,32298,452
45429,44520.42,453
19508,19508,454
32896,28948.48,455
47065,46123.7,456
21174,20750.52,457
39475,38685.5,458
27426,27426,459
11193,11193,460
41212,37090.8,461
38080,37318.4,462
12793,11513.7,463
46262,38860.08,464
16472,16472,465
14494,13914.24,466
33297,32631.06,467
33355,33355,468
28075,28075,469
33184,33184,470
33354,32686.92,471
17715,17715,472
18079,16994.26,473
43885,39496.5,474
28796,28220.08,475
17475,17125.5,476
30561,30561,477
34870,34172.6,478
22974,22974,479
26445,26445,480
30264,29658.72,481
24250,24250,482
39562,38770.76,483
22227,19559.76,484
38541,37770.18,485
19013,19013,486
42531,40829.76,487
42179,37117.52,488
36258,35532.84,489
39305,38518.9,490
15032,15032,491
29273,28687.54,492
41129,40306.42,493
26966,23730.08,494
26916,25839.36,495
49225,42333.5,496
49337,48350.26,497
34295,33609.1,498
28211,28211,499
40899,40081.02,500
37936,37177.28,501
36265,35539.7,502
35731,35016.38,503
17065,17065,504
20045,19243.2,505
35711,34996.78,506
34145,33462.1,507
28797,25917.3,508
32057,31415.86,509
11679,11679,510
25173,24669.54,511
24043,21638.7,512
19561,19169.78,513
30948,30329.04,514
29919,29320.62,515
33040,33040,516
11237,11237,517
12809,12040.46,518
39720,38925.6,519
30219,29010.24,520
13755,13755,521
28236,28236,522
36439,34252.66,523
24754,24754,524
15952,15313.92,525
21770,21334.6,526
20146,17325.56,527
40310,39503.8,528
37930,37171.4,529
35975,35255.5,530
41744,40074.24,531
43234,42369.32,532
41070,36963,533
37151,36407.98,534
15848,14897.12,535
19854,18662.76,536
15255,15255,537
21698,21698,538
41749,40914.02,539
18762,18386.76,540
23993,23993,541
22552,21198.88,542
17209,17209,543
28794,25914.6,544
23396,22928.08,545
36222,35497.56,546
25449,24940.02,547
43493,42623.14,548
22704,22704,549
38426,35351.92,550
34583,34583,551
39766,35789.4,552
29569,28977.62,553
15708,15708,554
31349,30722.02,555
26377,25321.92,556
35002,34301.96,557
29672,28485.12,558
10728,10728,559
32981,32981,560
35756,35040.88,561
19832,18642.08,562
20885,20885,563
20206,19397.76,564
22744,22744,565
22450,22001,566
20530,20119.4,567
8336,8336,568
29079,27915.84,569
16220,16220,570
31321,30694.58,571
38407,37638.86,572
21271,19994.74,573
39526,38735.48,574
34159,33475.82,575
39207,38422.86,576
10490,10490,577
38015,37254.7,578
23725,22776,579
11103,11103,580
21744,20439.36,581
35840,35123.2,582
42149,37934.1,583
27777,27777,584
23309,23309,585
33415,32746.7,586
36764,32352.32,587
14999,14999,588
38981,38201.38,589
38166,37402.68,590
24472,23982.56,591
26717,26717,592
22517,22066.66,593
14343,14343,594
21205,19932.7,595
45260,43449.6,596
40655,40655,597
25154,25154,598
26249,25724.02,599
31140,30517.2,600
38476,33858.88,601
35994,31674.72,602
23031,22109.76,603
24920,24421.6,604
13689,13689,605
26073,25551.54,606
26202,22533.72,607
43619,42746.62,608
45700,42044,609
27276,24002.88,610
16831,16831,611
33123,31798.08,612
25946,25427.08,613
48371,46436.16,614
11872,11872,615
17549,17198.02,616
17636,17636,617
37599,37599,618
34923,34224.54,619
28268,27702.64,620
16940,15923.6,621
23260,22794.8,622
29338,29338,623
28349,27782.02,624
40270,39464.6,625
37512,33760.8,626
53504,50293.76,627
13877,13877,628
33505,32164.8,629
39412,38623.76,630
23908,23429.84,631
26817,26817,632
33288,31956.48,633
18269,18269,634
29219,28634.62,635
30031,29430.38,636
14283,14283,637
43186,38867.4,638
28963,28383.74,639
30580,29356.8,640
19004,15963.36,641
40554,39742.92,642
21079,21079,643
38913,38134.74,644
48193,43373.7,645
51502,50471.96,646
29160,28576.8,647
30336,26088.96,648
27323,27323,649
37523,37523,650
26481,25421.76,651
43647,42774.06,652
27288,26742.24,653
26229,25179.84,654
25748,25748,655
42761,41050.56,656
49356,44420.4,657
30767,28920.98,658
41880,35179.2,659
16426,16426,660
35987,35267.26,661
35584,34160.64,662
36640,35907.2,663
51226,46103.4,664
40533,39722.34,665
31673,27872.24,666
43154,42290.92,667
37301,37301,668
31613,30980.74,669
30761,30761,670
27079,26537.42,671
36589,35857.22,672
34644,33951.12,673
41467,40637.66,674
30100,30100,675
34437,30304.56,676
40478,40478,677
34380,33004.8,678
17991,17991,679
31234,31234,680
39565,34817.2,681
26563,26563,682
37650,33132,683
33173,32509.54,684
28870,28292.6,685
38721,35623.32,686
17018,17018,687
30463,29853.74,688
16281,15955.38,689
37564,34558.88,690
22984,22524.32,691
35269,34563.62,692
15688,15374.24,693
15943,15943,694
13959,13959,695
35874,35156.52,696
11055,11055,697
26580,26048.4,698
12483,12483,699
26225,25176,700
18136,17410.56,701
39527,34783.76,702
37681,36927.38,703
39767,38971.66,704
41549,39887.04,705
36636,35903.28,706
46236,45311.28,707
40874,39239.04,708
14369,14369,709
33034,31712.64,710
24412,23435.52,711
18666,18666,712
49469,44522.1,713
37043,36302.14,714
44547,44547,715
9680,9680,716
19176,18792.48,717
36636,35903.28,718
52951,46596.88,719
41767,35919.62,720
33824,33147.52,721
38380,37612.4,722
48353,47385.94,723
23590,20287.4,724
19523,18742.08,725
34653,33266.88,726
15485,15485,727
10382,10382,728
32962,32302.76,729
27309,26762.82,730
24809,24312.82,731
22190,19971,732
15652,14399.84,733
21850,21413,734
19209,18824.82,735
25550,25039,736
30929,30310.42,737
21413,20128.22,738
47930,44095.6,739
36344,32709.6,740
30715,30100.7,741
33127,29151.76,742
33110,32447.8,743
30368,28545.92,744
43938,43938,745
27254,27254,746
27072,27072,747
23987,23987,748
46285,45359.3,749
38933,38154.34,750
20417,20008.66,751
24148,24148,752
23892,22936.32,753
24156,23189.76,754
